year,day,hour,day_of_week,location,num_bikes
2014,1,0,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,4
2014,1,1,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,2
2014,1,2,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
2014,1,3,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,4
2014,1,4,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
2014,1,5,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,3
2014,1,6,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,14
2014,1,7,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,26
2014,1,8,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,25
2014,1,9,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,29
2014,1,10,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,36
2014,1,11,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,30
2014,1,12,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,24
2014,1,13,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,39
2014,1,14,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,45
2014,1,15,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,38
2014,1,16,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,42
2014,1,17,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,163
2014,1,18,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,117
2014,1,19,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,44
2014,1,20,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,26
2014,1,21,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,14
2014,1,22,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,11
2014,1,23,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,2
2014,2,0,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,2
2014,2,1,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,1
2014,2,2,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,2
2014,2,3,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
2014,2,4,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
2014,2,5,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,4
2014,2,6,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,5
2014,2,7,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,30
2014,2,8,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,31
2014,2,9,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,14
2014,2,10,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,14
2014,2,11,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,18
2014,2,12,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,14
2014,2,13,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,11
2014,2,14,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,19
2014,2,15,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,27
2014,2,16,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,40
2014,2,17,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,73
2014,2,18,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,64
2014,2,19,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,37
2014,2,20,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,19
2014,2,21,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,12
2014,2,22,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,6
2014,2,23,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,9
2014,3,0,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,4
2014,3,1,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,2
2014,3,2,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,1
2014,3,3,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
2014,3,4,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
2014,3,5,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,4
2014,3,6,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,4
2014,3,7,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,30
2014,3,8,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,49
2014,3,9,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,29
2014,3,10,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,21
2014,3,11,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,16
2014,3,12,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,16
2014,3,13,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,12
2014,3,14,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,28
2014,3,15,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,41
2014,3,16,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,63
2014,3,17,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,46
2014,3,18,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,40
2014,3,19,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,34
2014,3,20,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,23
2014,3,21,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,16
2014,3,22,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,10
2014,3,23,3,26th_Ave_SW_Greenway_at_SW_Oregon_St,2
2014,4,0,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
2014,4,1,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,2
2014,4,2,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
2014,4,3,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
2014,4,4,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
2014,4,5,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
2014,4,6,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,7
2014,4,7,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,23
2014,4,8,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,21
2014,4,9,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,20
2014,4,10,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,17
2014,4,11,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,42
2014,4,12,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,31
2014,4,13,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,37
2014,4,14,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,29
2014,4,15,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,50
2014,4,16,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,53
2014,4,17,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,65
2014,4,18,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,38
2014,4,19,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,46
2014,4,20,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,25
2014,4,21,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,24
2014,4,22,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,9
2014,4,23,4,26th_Ave_SW_Greenway_at_SW_Oregon_St,12
2014,5,0,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,2
2014,5,1,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
2014,5,2,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
2014,5,3,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
2014,5,4,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,1
2014,5,5,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,1
2014,5,6,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,1
2014,5,7,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,5
2014,5,8,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,10
2014,5,9,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,17
2014,5,10,5,26th_Ave_SW_Greenway_at_SW_Oregon_St,26
