year,day,hour,summary,temperature,windSpeed,precipIntensity
2014,1,0,Clear,49.81,7.41,0
2014,1,1,Clear,48.77,5.59,0
2014,1,2,Clear,48.8,5.79,0
2014,1,3,Clear,48.67,6.69,0
2014,1,4,Clear,47.65,1.03,0
2014,1,5,Clear,46.68,1.48,0
2014,1,6,Clear,46.77,1.02,0
2014,1,7,Clear,45.8,1.3,0
2014,1,8,Clear,46.74,0.95,0
2014,1,9,Clear,48.83,4.75,0
2014,1,10,Clear,49.07,6.69,0
2014,1,11,Clear,50.12,5.82,0
2014,1,12,Partly Cloudy,51.9,7.6,0
2014,1,13,Clear,51.32,7.99,0
2014,1,14,Clear,52.44,4.86,0
2014,1,15,Clear,54.27,4.72,0
2014,1,16,Clear,53.53,4.64,0
2014,1,17,Clear,54.35,6.53,0
2014,1,18,Clear,54.47,5.21,0
2014,1,19,Clear,53.48,2.6,0
2014,1,20,Clear,53.09,2.07,0
2014,1,21,Clear,51.89,1.15,0
2014,1,22,Clear,50.91,4.38,0
2014,1,23,Clear,50.6,6.27,0
2014,2,0,Clear,48.82,5.48,0
2014,2,1,Clear,47.73,6.4,0
2014,2,2,Clear,46.82,5.65,0
2014,2,3,Clear,46.92,3.93,0
2014,2,4,Clear,46.66,6.13,0
2014,2,5,Clear,46,5.55,0
2014,2,6,Clear,46.07,7.29,0
2014,2,7,Clear,46.07,7.38,0
2014,2,8,Clear,47.01,3.96,0
2014,2,9,Clear,47.01,7.47,0
2014,2,10,Clear,48.08,6.34,0
2014,2,11,Clear,49.18,3.91,0
2014,2,12,Clear,50.99,7.26,0
2014,2,13,Clear,52.13,8.31,0
2014,2,14,Clear,55.04,5.51,0
2014,2,15,Clear,56.1,5.36,0
2014,2,16,Clear,57.98,6.68,0
2014,2,17,Clear,58.78,6.66,0
2014,2,18,Clear,56.15,8.08,0
2014,2,19,Clear,55.27,5.99,0
2014,2,20,Clear,54.05,6.16,0
2014,2,21,Clear,52.11,5.32,0
2014,2,22,Clear,50.82,2.59,0
2014,2,23,Clear,50.74,3.62,0
2014,3,0,Clear,49.72,5.24,0
2014,3,1,Clear,48.76,6.34,0
2014,3,2,Clear,48.73,3.83,0
2014,3,3,Clear,47.78,3.41,0
2014,3,4,Clear,46.91,9,0
2014,3,5,Clear,47.65,3.06,0
2014,3,6,Partly Cloudy,46.68,3.78,0
2014,3,7,Clear,46.68,2.83,0
2014,3,8,Partly Cloudy,46.85,5.29,0
2014,3,9,Clear,47.83,6.39,0
2014,3,10,Partly Cloudy,49.01,7.49,0
2014,3,11,Clear,51.06,8.46,0
2014,3,12,Clear,53.97,6.7,0
2014,3,13,Clear,55.1,7.21,0
2014,3,14,Clear,55.1,10.48,0
2014,3,15,Light Rain,51.17,9.45,0.0191
2014,3,16,Light Rain,51.06,6.38,0.04
2014,3,17,Light Rain,50.15,6.52,0.0127
2014,3,18,Light Rain,50.95,8.36,0.0164
2014,3,19,Clear,51.01,11.17,0.0036
2014,3,20,Light Rain,49.91,8.42,0.0136
2014,3,21,Clear,49.01,8.73,0.0036
2014,3,22,Clear,49.01,8.31,0
2014,3,23,Clear,49.01,6.88,0
2014,4,0,Clear,48.01,8.24,0
2014,4,1,Clear,47.17,6.15,0
2014,4,2,Clear,47.13,4.28,0
2014,4,3,Clear,47.03,7.5,0
2014,4,4,Clear,46.9,8.5,0
2014,4,5,Clear,46,6.77,0
2014,4,6,Clear,45.9,6.83,0
2014,4,7,Clear,45.04,6.3,0
2014,4,8,Clear,46.01,5.87,0
2014,4,9,Clear,47.11,6.65,0
2014,4,10,Clear,49.12,6.15,0
2014,4,11,Clear,49.99,8.41,0
2014,4,12,Clear,51.23,10.71,0
2014,4,13,Clear,52.17,9.17,0
2014,4,14,Clear,52.21,10.02,0
2014,4,15,Clear,54.1,7.56,0
2014,4,16,Clear,55.78,6.05,0
2014,4,17,Clear,53.16,11,0
2014,4,18,Clear,52.89,11.03,0
2014,4,19,Clear,51.06,7.75,0
2014,4,20,Clear,50.89,11.19,0
2014,4,21,Clear,50.79,9.69,0
2014,4,22,Clear,48.95,5.46,0
2014,4,23,Clear,48.05,2.64,0
2014,5,0,Clear,48.08,2.82,0
2014,5,1,Clear,47.91,2.67,0.0036
2014,5,2,Clear,47.91,3.26,0
2014,5,3,Clear,47.01,4.99,0.0036
2014,5,4,Light Rain,47.04,4.69,0.0127
2014,5,5,Drizzle,47.03,3.35,0.0064
2014,5,6,Clear,47.04,5.27,0
2014,5,7,Clear,47.03,5.62,0
2014,5,8,Clear,47.97,6.35,0
2014,5,9,Clear,50.75,6.35,0
2014,5,10,Clear,50.99,5.75,0
2014,5,11,Clear,51.96,6.66,0
2014,5,12,Clear,51.16,7.37,0
2014,5,13,Drizzle,51.06,6.54,0.0073
2014,5,14,Clear,52.96,7.7,0
2014,5,15,Clear,53.9,5.98,0
2014,5,16,Light Rain,52.95,7.73,0.0236
2014,5,17,Light Rain,52.91,7.59,0.0136
2014,5,18,Clear,52.89,8.01,0.0036
2014,5,19,Light Rain,53.02,11.51,0.0145
2014,5,20,Clear,52.95,13.82,0
2014,5,21,Clear,52.01,10.7,0
2014,5,22,Clear,51,5.23,0
2014,5,23,Clear,50.9,3.03,0
2014,6,0,Clear,50.06,4.88,0
2014,6,1,Clear,49.94,5.8,0
2014,6,2,Clear,49.05,3.77,0
2014,6,3,Clear,49.05,6.1,0
2014,6,4,Clear,48.95,5.36,0
2014,6,5,Clear,48.15,7.33,0
2014,6,6,Clear,48.11,2,0
2014,6,7,Clear,48.08,3.02,0
2014,6,8,Clear,48.02,0.83,0
2014,6,9,Clear,49.08,1.07,0
2014,6,10,Clear,51.03,0.52,0
2014,6,11,Clear,52.72,2.68,0
2014,6,12,Clear,50.5,7.56,0
2014,6,13,Clear,52.12,1.85,0
2014,6,14,Clear,52.28,5.47,0
2014,6,15,Clear,53.29,2.37,0
2014,6,16,Clear,53.37,2.76,0
2014,6,17,Clear,51.83,2.29,0
2014,6,18,Clear,51.79,3.79,0
2014,6,19,Clear,53.46,5.68,0
2014,6,20,Clear,56.63,5.6,0
2014,6,21,Clear,55,5.84,0
2014,6,22,Clear,53.11,2.33,0
2014,6,23,Clear,53.95,3.27,0
2014,7,0,Clear,52.93,10.05,0
2014,7,1,Clear,52.95,5.71,0
2014,7,2,Clear,52.95,6.5,0
2014,7,3,Clear,52.91,5.39,0
2014,7,4,Clear,52.97,6.23,0
2014,7,5,Clear,52.71,3.39,0
2014,7,6,Clear,52.77,3.32,0
2014,7,7,Clear,52.81,4.93,0
2014,7,8,Clear,53.77,3.2,0
2014,7,9,Clear,55.7,4.74,0
2014,7,10,Clear,52.59,2.58,0
2014,7,11,Clear,52.95,0.79,0
2014,7,12,Clear,56.08,4.55,0
2014,7,13,Clear,60.67,1.15,0
2014,7,14,Clear,61.74,0.56,0
2014,7,15,Clear,65.45,1.79,0
2014,7,16,Clear,64.76,4.11,0
2014,7,17,Clear,69.7,5.31,0
2014,7,18,Clear,68.08,7.6,0
2014,7,19,Clear,67.21,5.52,0
2014,7,20,Clear,63.05,3.02,0
2014,7,21,Clear,58.52,1.13,0
2014,7,22,Clear,61.76,1.84,0
2014,7,23,Clear,60.74,4.65,0
2014,8,0,Clear,59.62,7.9,0
2014,8,1,Clear,56.82,4.03,0
2014,8,2,Clear,53.87,7.92,0
2014,8,3,Clear,51.11,8.11,0
2014,8,4,Clear,51.05,7.29,0
2014,8,5,Clear,51.95,9.52,0
2014,8,6,Partly Cloudy,51.87,10.99,0
2014,8,7,Clear,51.95,8.88,0
2014,8,8,Clear,52.95,9.67,0
2014,8,9,Clear,53.87,6.2,0
2014,8,10,Clear,55.08,6.85,0
2014,8,11,Clear,56.08,3.32,0
2014,8,12,Clear,57.92,6.55,0
2014,8,13,Clear,59.76,3.81,0
2014,8,14,Clear,58.98,8.08,0
2014,8,15,Clear,58.74,5.45,0.0036
2014,8,16,Rain,54.94,6.29,0.0809
2014,8,17,Rain,53.11,8.95,0.1209
2014,8,18,Rain,53.06,9.82,0.0673
2014,8,19,Drizzle,53.02,9.58,0.0073
2014,8,20,Clear,53.06,8.86,0
2014,8,21,Clear,52.88,0.31,0
2014,8,22,Clear,50.07,9.64,0
2014,8,23,Drizzle,48.11,5.66,0.0064
2014,9,0,Clear,48.05,6.03,0
2014,9,1,Drizzle,47.11,6.97,0.0064
2014,9,2,Clear,47.15,5.92,0
2014,9,3,Clear,47.01,5.81,0
2014,9,4,Clear,47.81,3,0
2014,9,5,Clear,46.66,1.69,0
2014,9,6,Clear,47.54,1.88,0
2014,9,7,Clear,46.88,4.75,0
2014,9,8,Clear,47.01,1.32,0
2014,9,9,Clear,48.01,2.75,0
2014,9,10,Clear,48.38,6.28,0
2014,9,11,Clear,49.46,1.85,0
2014,9,12,Clear,49.5,6,0
2014,9,13,Clear,51.52,5.97,0
2014,9,14,Clear,53.25,5.59,0
2014,9,15,Clear,56.58,3.02,0
2014,9,16,Clear,54.2,5.48,0
2014,9,17,Clear,54.21,7.86,0
2014,9,18,Clear,55.04,7.81,0
2014,9,19,Clear,53.9,5.87,0
2014,9,20,Clear,52.99,1.7,0
2014,9,21,Clear,52.05,7.31,0
2014,9,22,Clear,51.06,5.77,0
2014,9,23,Clear,50.02,2.17,0
2014,10,0,Clear,49.01,4.55,0
2014,10,1,Clear,47.97,4.18,0
2014,10,2,Clear,47.97,4.9,0
2014,10,3,Clear,47.01,2.44,0
2014,10,4,Clear,46.91,2.06,0
2014,10,5,Clear,46.91,2.82,0
2014,10,6,Clear,46.04,8,0
2014,10,7,Clear,45.85,1.32,0
2014,10,8,Clear,46.91,1.82,0
2014,10,9,Clear,49.69,2.03,0
2014,10,10,Clear,48.18,7.73,0
2014,10,11,Clear,49.28,6.08,0
2014,10,12,Clear,50.45,4.87,0
2014,10,13,Clear,53.13,7.49,0
2014,10,14,Clear,53.27,9.25,0
2014,10,15,Clear,54.23,4.45,0
2014,10,16,Clear,55.04,3.43,0
2014,10,17,Clear,55.95,7.23,0
2014,10,18,Clear,55.01,8.69,0
2014,10,19,Clear,54.9,7.04,0
2014,10,20,Clear,53.02,6.09,0
2014,10,21,Clear,52.78,3.24,0
2014,10,22,Clear,51.81,5.17,0
2014,10,23,Clear,50.88,5.16,0
2014,11,0,Clear,49.97,8,0
2014,11,1,Clear,48.97,0.52,0
2014,11,2,Clear,48.85,2.87,0
2014,11,3,Clear,47.9,4.87,0
2014,11,4,Clear,47.71,4.66,0
2014,11,5,Clear,46.67,2.99,0
2014,11,6,Clear,46.64,2.75,0
2014,11,7,Clear,46.4,4.55,0
2014,11,8,Clear,47.73,6.82,0
2014,11,9,Clear,48.91,4.89,0
2014,11,10,Clear,51.76,5.38,0
2014,11,11,Clear,51.39,4.87,0
2014,11,12,Clear,51.71,2.61,0
2014,11,13,Clear,55.32,3.25,0
2014,11,14,Clear,57.06,2.69,0
2014,11,15,Clear,58.06,4.28,0
2014,11,16,Clear,57.23,5.71,0
2014,11,17,Clear,57.44,4.85,0
2014,11,18,Clear,56.41,4.77,0
2014,11,19,Clear,58.85,5.41,0
2014,11,20,Clear,57.79,2.97,0
2014,11,21,Clear,55.01,3.91,0
2014,11,22,Clear,52.86,3.01,0
2014,11,23,Clear,50.95,0.63,0
2014,12,0,Clear,50.11,2.67,0
2014,12,1,Clear,50.01,10,0
2014,12,2,Clear,49.08,3.08,0
2014,12,3,Clear,48.08,2.72,0
2014,12,4,Clear,48.04,1.41,0
2014,12,5,Clear,47.95,3.15,0
2014,12,6,Clear,46.97,3.16,0
2014,12,7,Clear,47.01,1.92,0
2014,12,8,Clear,48.11,4.92,0
2014,12,9,Clear,49.14,6.51,0
2014,12,10,Clear,50.14,5.54,0
2014,12,11,Clear,51.14,6.02,0
2014,12,12,Clear,52.12,10.87,0
2014,12,13,Clear,53.1,10.62,0
2014,12,14,Clear,54.95,8.02,0
2014,12,15,Clear,55.99,5.68,0
2014,12,16,Clear,56.15,12.78,0
2014,12,17,Clear,56.27,13.37,0
2014,12,18,Clear,57.08,9.89,0
2014,12,19,Clear,57.85,7.42,0
2014,12,20,Clear,56.87,2.67,0
2014,12,21,Clear,56.66,5.26,0
2014,12,22,Clear,54.82,4.25,0
2014,12,23,Clear,54.68,3.37,0
2014,13,0,Clear,53.68,2.76,0
2014,13,1,Clear,52.54,1.49,0
2014,13,2,Clear,51.7,1.37,0
2014,13,3,Clear,49.74,2.64,0
2014,13,4,Clear,48.58,1.07,0
2014,13,5,Clear,47.62,1.83,0
2014,13,6,Clear,46.76,2.21,0
2014,13,7,Clear,46.71,11,0
2014,13,8,Clear,47.86,2.21,0
2014,13,9,Clear,49.81,5.19,0
2014,13,10,Clear,52.96,5.22,0
2014,13,11,Clear,55.92,5.17,0
2014,13,12,Clear,57.94,7.53,0
2014,13,13,Clear,59.96,9.83,0
2014,13,14,Clear,61.93,8.81,0
2014,13,15,Clear,63.75,7.28,0
2014,13,16,Clear,62.17,12.76,0
2014,13,17,Clear,64.8,8.57,0
2014,13,18,Clear,65.66,8.54,0
2014,13,19,Clear,65.46,5.84,0
2014,13,20,Clear,60.82,5.7,0
2014,13,21,Clear,57.07,5.53,0
2014,13,22,Clear,55.1,3.17,0
2014,13,23,Clear,54.02,6.66,0
2014,14,0,Clear,52.82,1.01,0
2014,14,1,Clear,51.73,7,0
2014,14,2,Clear,50.67,1.59,0
2014,14,3,Clear,49.53,6,0
2014,14,4,Clear,47.8,1.76,0
2014,14,5,Clear,46.8,9,0
2014,14,6,Clear,46.71,1.85,0
2014,14,7,Clear,46.35,1.43,0
2014,14,8,Clear,47.83,3.75,0
2014,14,9,Clear,48.41,1.6,0
2014,14,10,Clear,50.68,5,0
2014,14,11,Clear,52.01,1.79,0
2014,14,12,Clear,55.77,2.49,0
2014,14,13,Clear,57.98,5.19,0
2014,14,14,Clear,59.66,4.6,0
2014,14,15,Clear,66.59,3.91,0
2014,14,16,Clear,64.86,5.17,0
2014,14,17,Clear,63.75,8.05,0
2014,14,18,Clear,63.46,3.18,0
2014,14,19,Clear,61.47,3.74,0
2014,14,20,Clear,56.79,5.88,0
2014,14,21,Clear,54.9,5.18,0
2014,14,22,Clear,53.11,5.45,0
2014,14,23,Clear,52.95,6.48,0
2014,15,0,Clear,52.05,6.04,0
2014,15,1,Clear,51.05,3.11,0
2014,15,2,Clear,50.9,5.51,0
2014,15,3,Clear,49,4.82,0
2014,15,4,Clear,48.06,3.44,0
2014,15,5,Clear,48.02,6.07,0
2014,15,6,Clear,47.98,5.08,0
2014,15,7,Clear,47.91,5.02,0
2014,15,8,Clear,49.01,5.44,0
2014,15,9,Clear,49.91,5.37,0
2014,15,10,Clear,50.91,7.54,0
2014,15,11,Clear,52.8,6.66,0
2014,15,12,Clear,53.9,9.39,0
2014,15,13,Clear,55.94,8.71,0
2014,15,14,Clear,57,7.27,0
2014,15,15,Clear,59.68,2.79,0
2014,15,16,Clear,57.89,6.78,0
2014,15,17,Clear,57.1,8.24,0
2014,15,18,Clear,56.09,6.88,0
2014,15,19,Clear,54.15,10.89,0
2014,15,20,Clear,53.05,9.25,0
2014,15,21,Clear,52.21,14.66,0
2014,15,22,Drizzle,51.15,8.35,0.0064
2014,15,23,Clear,51.05,5.9,0
2014,16,0,Clear,51.05,5.82,0
2014,16,1,Clear,51.01,8.15,0
2014,16,2,Light Rain,50.07,9.62,0.01
2014,16,3,Light Rain,50.01,7.97,0.0136
2014,16,4,Light Rain,49.13,8,0.0391
2014,16,5,Light Rain,49.13,5.91,0.0291
2014,16,6,Clear,49.2,6.91,0.0036
2014,16,7,Light Rain,49.07,7.06,0.01
2014,16,8,Light Rain,49.13,7.29,0.0264
2014,16,9,Light Rain,50.01,4.89,0.02
2014,16,10,Light Rain,51.01,10.56,0.0136
2014,16,11,Light Rain,51.01,7.35,0.0236
2014,16,12,Clear,52.08,9.33,0
2014,16,13,Drizzle,52.08,7.97,0.0073
2014,16,14,Light Rain,52.02,7.87,0.0136
2014,16,15,Light Rain,52.11,6.8,0.01
2014,16,16,Light Rain,52.89,8.32,0.0264
2014,16,17,Light Rain,52.91,6.69,0.03
2014,16,18,Light Rain,52.91,7.41,0.0373
2014,16,19,Light Rain,52.91,8.16,0.0336
2014,16,20,Light Rain,52.97,9.19,0.01
2014,16,21,Clear,52.97,6.55,0.0036
2014,16,22,Clear,52.97,6.6,0.0036
2014,16,23,Light Rain,51.97,8.34,0.0336
2014,17,0,Light Rain,51.97,6.83,0.0173
2014,17,1,Light Rain,51.03,9.55,0.0136
2014,17,2,Clear,51.97,6.97,0.0036
2014,17,3,Clear,51.97,8.39,0
2014,17,4,Light Rain,51.91,7.83,0.01
2014,17,5,Light Rain,51.08,3.65,0.01
2014,17,6,Light Rain,51.08,6.38,0.0164
2014,17,7,Light Rain,51.91,6.5,0.0164
2014,17,8,Light Rain,51.98,3.92,0.01
2014,17,9,Light Rain,52.02,7.11,0.02
2014,17,10,Clear,53.02,8.7,0
2014,17,11,Light Rain,53.02,4.87,0.01
2014,17,12,Rain,52.15,7.37,0.0564
2014,17,13,Light Rain,52.22,7.39,0.0518
2014,17,14,Light Rain,53.06,6.09,0.0136
2014,17,15,Light Rain,53.12,9.74,0.01
2014,17,16,Drizzle,53.06,11,0.0064
2014,17,17,Light Rain,52.86,8.86,0.0436
2014,17,18,Rain,52.01,11.22,0.0918
2014,17,19,Light Rain,51.97,7.39,0.0382
2014,17,20,Rain,50.9,7.62,0.1882
2014,17,21,Clear,49.13,9.37,0
2014,17,22,Clear,47.89,7.91,0
2014,17,23,Clear,47.06,3.95,0
2014,18,0,Clear,46.22,6.54,0
2014,18,1,Clear,46.95,5,0
2014,18,2,Clear,45.98,3.85,0
2014,18,3,Clear,45.89,5.49,0
2014,18,4,Clear,45.05,6.17,0
2014,18,5,Clear,44.89,6.45,0
2014,18,6,Clear,44,2.83,0
2014,18,7,Clear,44.1,6.97,0
2014,18,8,Clear,45.89,8.05,0
2014,18,9,Clear,47.02,7.04,0
2014,18,10,Clear,48.09,6.45,0
2014,18,11,Clear,50.08,5.28,0
2014,18,12,Clear,52.12,3.15,0
2014,18,13,Clear,54.76,4.99,0
2014,18,14,Clear,52.31,1.24,0
2014,18,15,Clear,54.93,1.33,0
2014,18,16,Clear,54.98,5.55,0
2014,18,17,Clear,54.36,8.43,0
2014,18,18,Clear,53.61,5.41,0
2014,18,19,Clear,54.17,4.38,0
2014,18,20,Clear,54.74,6.28,0
2014,18,21,Clear,54.48,4.8,0
2014,18,22,Clear,52.73,5.1,0
2014,18,23,Clear,52.61,2.31,0
2014,19,0,Clear,50.63,1.98,0
2014,19,1,Clear,48.73,4.66,0
2014,19,2,Clear,47.56,1.78,0
2014,19,3,Clear,46.67,,0
2014,19,4,Clear,46.63,2,0
2014,19,5,Clear,45.73,5,0
2014,19,6,Clear,45.69,1.88,0
2014,19,7,Clear,45.78,3.51,0
2014,19,8,Clear,47.73,3.47,0
2014,19,9,Clear,48.97,7.09,0
2014,19,10,Clear,49.36,9.04,0
2014,19,11,Drizzle,50.22,16.89,0.0064
2014,19,12,Rain,47.17,8.18,0.1209
2014,19,13,Rain,47.97,9.43,0.0973
2014,19,14,Light Rain,49.08,8.35,0.0136
2014,19,15,Light Rain,51.02,12.71,0.0173
2014,19,16,Clear,53.06,7.57,0
2014,19,17,Light Rain,52.14,14.64,0.0464
2014,19,18,Light Rain,51.13,13.77,0.0182
2014,19,19,Breezy,51.17,20.73,0
2014,19,20,Clear,50.01,11.07,0
2014,19,21,Clear,49.97,8.54,0
2014,19,22,Clear,48.96,13.83,0
2014,19,23,Drizzle,48.93,10.36,0.0073
2014,20,0,Clear,48.13,7.28,0
2014,20,1,Clear,48.93,9.68,0
2014,20,2,Clear,48.93,5.67,0
2014,20,3,Clear,48.79,6.18,0
2014,20,4,Clear,47.85,6.38,0
2014,20,5,Clear,45.98,7.21,0
2014,20,6,Clear,45.98,5.99,0
2014,20,7,Clear,45.92,7.34,0
2014,20,8,Clear,46.99,3.85,0
2014,20,9,Clear,49.88,8.16,0
2014,20,10,Clear,52.9,9.03,0
2014,20,11,Clear,54.85,3.75,0
2014,20,12,Clear,55.94,5.02,0
2014,20,13,Clear,56.94,1.94,0
2014,20,14,Clear,56.14,4.63,0
2014,20,15,Clear,56.38,2.55,0
2014,20,16,Clear,56.5,2.59,0
