Date,26th Ave SW Greenway at SW Oregon St Total,North,South
04/01/2014 12:00:00 AM,4,0,4
04/01/2014 01:00:00 AM,2,0,2
04/01/2014 02:00:00 AM,0,0,0
04/01/2014 03:00:00 AM,4,0,4
04/01/2014 04:00:00 AM,0,0,0
04/01/2014 05:00:00 AM,3,1,2
04/01/2014 06:00:00 AM,14,10,4
04/01/2014 07:00:00 AM,26,12,14
04/01/2014 08:00:00 AM,25,11,14
04/01/2014 09:00:00 AM,29,14,15
04/01/2014 10:00:00 AM,36,18,18
04/01/2014 11:00:00 AM,30,2,28
04/01/2014 12:00:00 PM,24,6,18
04/01/2014 01:00:00 PM,39,8,31
04/01/2014 02:00:00 PM,45,6,39
04/01/2014 03:00:00 PM,38,9,29
04/01/2014 04:00:00 PM,42,6,36
04/01/2014 05:00:00 PM,163,11,152
04/01/2014 06:00:00 PM,117,6,111
04/01/2014 07:00:00 PM,44,7,37
04/01/2014 08:00:00 PM,26,2,24
04/01/2014 09:00:00 PM,14,1,13
04/01/2014 10:00:00 PM,11,0,11
04/01/2014 11:00:00 PM,2,2,0
04/02/2014 12:00:00 AM,2,0,2
04/02/2014 01:00:00 AM,1,1,0
04/02/2014 02:00:00 AM,2,1,1
04/02/2014 03:00:00 AM,0,0,0
04/02/2014 04:00:00 AM,0,0,0
04/02/2014 05:00:00 AM,4,4,0
04/02/2014 06:00:00 AM,5,5,0
04/02/2014 07:00:00 AM,30,14,16
04/02/2014 08:00:00 AM,31,14,17
04/02/2014 09:00:00 AM,14,8,6
04/02/2014 10:00:00 AM,14,2,12
04/02/2014 11:00:00 AM,18,8,10
04/02/2014 12:00:00 PM,14,7,7
04/02/2014 01:00:00 PM,11,1,10
04/02/2014 02:00:00 PM,19,6,13
04/02/2014 03:00:00 PM,27,3,24
04/02/2014 04:00:00 PM,40,5,35
04/02/2014 05:00:00 PM,73,11,62
04/02/2014 06:00:00 PM,64,9,55
04/02/2014 07:00:00 PM,37,5,32
04/02/2014 08:00:00 PM,19,3,16
04/02/2014 09:00:00 PM,12,0,12
04/02/2014 10:00:00 PM,6,0,6
04/02/2014 11:00:00 PM,9,2,7
04/03/2014 12:00:00 AM,4,0,4
04/03/2014 01:00:00 AM,2,0,2
04/03/2014 02:00:00 AM,1,0,1
04/03/2014 03:00:00 AM,0,0,0
04/03/2014 04:00:00 AM,0,0,0
04/03/2014 05:00:00 AM,4,2,2
04/03/2014 06:00:00 AM,4,4,0
04/03/2014 07:00:00 AM,30,12,18
04/03/2014 08:00:00 AM,49,13,36
04/03/2014 09:00:00 AM,29,9,20
04/03/2014 10:00:00 AM,21,9,12
04/03/2014 11:00:00 AM,16,3,13
04/03/2014 12:00:00 PM,16,5,11
04/03/2014 01:00:00 PM,12,4,8
04/03/2014 02:00:00 PM,28,6,22
04/03/2014 03:00:00 PM,41,4,37
04/03/2014 04:00:00 PM,63,7,56
04/03/2014 05:00:00 PM,46,4,42
04/03/2014 06:00:00 PM,40,0,40
04/03/2014 07:00:00 PM,34,2,32
04/03/2014 08:00:00 PM,23,1,22
04/03/2014 09:00:00 PM,16,2,14
04/03/2014 10:00:00 PM,10,0,10
04/03/2014 11:00:00 PM,2,0,2
04/04/2014 12:00:00 AM,0,0,0
04/04/2014 01:00:00 AM,2,0,2
04/04/2014 02:00:00 AM,0,0,0
04/04/2014 03:00:00 AM,0,0,0
04/04/2014 04:00:00 AM,0,0,0
04/04/2014 05:00:00 AM,0,0,0
04/04/2014 06:00:00 AM,7,7,0
04/04/2014 07:00:00 AM,23,11,12
04/04/2014 08:00:00 AM,21,8,13
04/04/2014 09:00:00 AM,20,8,12
04/04/2014 10:00:00 AM,17,3,14
04/04/2014 11:00:00 AM,42,5,37
04/04/2014 12:00:00 PM,31,4,27
04/04/2014 01:00:00 PM,37,5,32
04/04/2014 02:00:00 PM,29,4,25
04/04/2014 03:00:00 PM,50,1,49
04/04/2014 04:00:00 PM,53,5,48
