Date,39th Ave NE Greenway at NE 62nd St Total,North,South
04/01/2014 12:00:00 AM,0,0,0
04/01/2014 01:00:00 AM,0,0,0
04/01/2014 02:00:00 AM,0,0,0
04/01/2014 03:00:00 AM,0,0,0
04/01/2014 04:00:00 AM,0,0,0
04/01/2014 05:00:00 AM,8,2,6
04/01/2014 06:00:00 AM,5,0,5
04/01/2014 07:00:00 AM,17,3,14
04/01/2014 08:00:00 AM,24,5,19
04/01/2014 09:00:00 AM,22,1,21
04/01/2014 10:00:00 AM,11,1,10
04/01/2014 11:00:00 AM,5,3,2
04/01/2014 12:00:00 PM,9,6,3
04/01/2014 01:00:00 PM,23,9,14
04/01/2014 02:00:00 PM,21,8,13
04/01/2014 03:00:00 PM,13,5,8
04/01/2014 04:00:00 PM,21,11,10
04/01/2014 05:00:00 PM,36,27,9
04/01/2014 06:00:00 PM,19,13,6
04/01/2014 07:00:00 PM,21,12,9
04/01/2014 08:00:00 PM,9,6,3
04/01/2014 09:00:00 PM,3,1,2
04/01/2014 10:00:00 PM,2,2,0
04/01/2014 11:00:00 PM,0,0,0
04/02/2014 12:00:00 AM,1,1,0
04/02/2014 01:00:00 AM,0,0,0
04/02/2014 02:00:00 AM,0,0,0
04/02/2014 03:00:00 AM,0,0,0
04/02/2014 04:00:00 AM,0,0,0
04/02/2014 05:00:00 AM,6,0,6
04/02/2014 06:00:00 AM,7,2,5
04/02/2014 07:00:00 AM,18,4,14
04/02/2014 08:00:00 AM,28,4,24
04/02/2014 09:00:00 AM,19,2,17
04/02/2014 10:00:00 AM,10,1,9
04/02/2014 11:00:00 AM,5,1,4
04/02/2014 12:00:00 PM,6,4,2
04/02/2014 01:00:00 PM,13,7,6
04/02/2014 02:00:00 PM,17,7,10
04/02/2014 03:00:00 PM,14,7,7
04/02/2014 04:00:00 PM,13,9,4
04/02/2014 05:00:00 PM,48,36,12
04/02/2014 06:00:00 PM,41,33,8
04/02/2014 07:00:00 PM,7,6,1
04/02/2014 08:00:00 PM,6,4,2
04/02/2014 09:00:00 PM,6,6,0
04/02/2014 10:00:00 PM,2,2,0
04/02/2014 11:00:00 PM,1,1,0
04/03/2014 12:00:00 AM,0,0,0
04/03/2014 01:00:00 AM,1,1,0
04/03/2014 02:00:00 AM,0,0,0
04/03/2014 03:00:00 AM,0,0,0
04/03/2014 04:00:00 AM,0,0,0
04/03/2014 05:00:00 AM,7,1,6
04/03/2014 06:00:00 AM,12,2,10
04/03/2014 07:00:00 AM,14,1,13
04/03/2014 08:00:00 AM,21,2,19
04/03/2014 09:00:00 AM,8,0,8
04/03/2014 10:00:00 AM,9,2,7
04/03/2014 11:00:00 AM,7,2,5
04/03/2014 12:00:00 PM,11,3,8
04/03/2014 01:00:00 PM,7,3,4
04/03/2014 02:00:00 PM,8,1,7
04/03/2014 03:00:00 PM,14,8,6
04/03/2014 04:00:00 PM,14,13,1
04/03/2014 05:00:00 PM,26,20,6
04/03/2014 06:00:00 PM,14,12,2
04/03/2014 07:00:00 PM,23,17,6
04/03/2014 08:00:00 PM,2,2,0
04/03/2014 09:00:00 PM,3,2,1
04/03/2014 10:00:00 PM,5,1,4
04/03/2014 11:00:00 PM,0,0,0
04/04/2014 12:00:00 AM,0,0,0
04/04/2014 01:00:00 AM,1,1,0
04/04/2014 02:00:00 AM,1,1,0
04/04/2014 03:00:00 AM,0,0,0
04/04/2014 04:00:00 AM,0,0,0
04/04/2014 05:00:00 AM,6,1,5
04/04/2014 06:00:00 AM,4,0,4
04/04/2014 07:00:00 AM,15,2,13
04/04/2014 08:00:00 AM,27,3,24
04/04/2014 09:00:00 AM,15,6,9
04/04/2014 10:00:00 AM,8,3,5
04/04/2014 11:00:00 AM,10,4,6
04/04/2014 12:00:00 PM,5,5,0
04/04/2014 01:00:00 PM,14,3,11
04/04/2014 02:00:00 PM,13,4,9
04/04/2014 03:00:00 PM,11,6,5
04/04/2014 04:00:00 PM,19,15,4
04/04/2014 05:00:00 PM,33,30,3
04/04/2014 06:00:00 PM,17,11,6
04/04/2014 07:00:00 PM,16,13,3
04/04/2014 08:00:00 PM,5,2,3
04/04/2014 09:00:00 PM,1,1,0
04/04/2014 10:00:00 PM,3,1,2
04/04/2014 11:00:00 PM,0,0,0
04/05/2014 12:00:00 AM,0,0,0
04/05/2014 01:00:00 AM,0,0,0
04/05/2014 02:00:00 AM,2,0,2
04/05/2014 03:00:00 AM,0,0,0
04/05/2014 04:00:00 AM,0,0,0
04/05/2014 05:00:00 AM,1,0,1
04/05/2014 06:00:00 AM,1,0,1
04/05/2014 07:00:00 AM,4,1,3
04/05/2014 08:00:00 AM,7,1,6
04/05/2014 09:00:00 AM,4,2,2
04/05/2014 10:00:00 AM,14,7,7
04/05/2014 11:00:00 AM,5,3,2
04/05/2014 12:00:00 PM,10,4,6
04/05/2014 01:00:00 PM,6,2,4
04/05/2014 02:00:00 PM,8,2,6
04/05/2014 03:00:00 PM,6,3,3
04/05/2014 04:00:00 PM,6,1,5
04/05/2014 05:00:00 PM,5,3,2
04/05/2014 06:00:00 PM,10,4,6
04/05/2014 07:00:00 PM,2,2,0
04/05/2014 08:00:00 PM,8,4,4
04/05/2014 09:00:00 PM,2,0,2
04/05/2014 10:00:00 PM,0,0,0
04/05/2014 11:00:00 PM,1,1,0
04/06/2014 12:00:00 AM,5,1,4
04/06/2014 01:00:00 AM,0,0,0
04/06/2014 02:00:00 AM,0,0,0
04/06/2014 03:00:00 AM,0,0,0
04/06/2014 04:00:00 AM,0,0,0
04/06/2014 05:00:00 AM,0,0,0
04/06/2014 06:00:00 AM,2,0,2
04/06/2014 07:00:00 AM,1,0,1
04/06/2014 08:00:00 AM,5,2,3
04/06/2014 09:00:00 AM,11,6,5
04/06/2014 10:00:00 AM,6,2,4
04/06/2014 11:00:00 AM,6,5,1
04/06/2014 12:00:00 PM,12,5,7
04/06/2014 01:00:00 PM,10,6,4
04/06/2014 02:00:00 PM,15,8,7
04/06/2014 03:00:00 PM,13,10,3
04/06/2014 04:00:00 PM,17,16,1
04/06/2014 05:00:00 PM,6,4,2
04/06/2014 06:00:00 PM,9,4,5
04/06/2014 07:00:00 PM,4,2,2
04/06/2014 08:00:00 PM,3,0,3
04/06/2014 09:00:00 PM,5,2,3
04/06/2014 10:00:00 PM,2,0,2
04/06/2014 11:00:00 PM,0,0,0
04/07/2014 12:00:00 AM,1,1,0
04/07/2014 01:00:00 AM,2,1,1
04/07/2014 02:00:00 AM,0,0,0
04/07/2014 03:00:00 AM,0,0,0
04/07/2014 04:00:00 AM,0,0,0
04/07/2014 05:00:00 AM,5,1,4
04/07/2014 06:00:00 AM,6,0,6
04/07/2014 07:00:00 AM,20,4,16
04/07/2014 08:00:00 AM,23,1,22
04/07/2014 09:00:00 AM,16,2,14
04/07/2014 10:00:00 AM,13,4,9
04/07/2014 11:00:00 AM,9,5,4
04/07/2014 12:00:00 PM,14,6,8
04/07/2014 01:00:00 PM,18,13,5
04/07/2014 02:00:00 PM,16,8,8
04/07/2014 03:00:00 PM,11,8,3
04/07/2014 04:00:00 PM,15,11,4
04/07/2014 05:00:00 PM,41,32,9
04/07/2014 06:00:00 PM,31,26,5
04/07/2014 07:00:00 PM,22,15,7
04/07/2014 08:00:00 PM,8,5,3
04/07/2014 09:00:00 PM,4,2,2
04/07/2014 10:00:00 PM,4,2,2
04/07/2014 11:00:00 PM,1,1,0
04/08/2014 12:00:00 AM,1,1,0
04/08/2014 01:00:00 AM,2,0,2
04/08/2014 02:00:00 AM,0,0,0
04/08/2014 03:00:00 AM,0,0,0
04/08/2014 04:00:00 AM,0,0,0
04/08/2014 05:00:00 AM,3,0,3
04/08/2014 06:00:00 AM,5,1,4
04/08/2014 07:00:00 AM,17,4,13
04/08/2014 08:00:00 AM,24,6,18
04/08/2014 09:00:00 AM,23,2,21
04/08/2014 10:00:00 AM,18,8,10
04/08/2014 11:00:00 AM,12,3,9
04/08/2014 12:00:00 PM,6,2,4
04/08/2014 01:00:00 PM,13,4,9
04/08/2014 02:00:00 PM,8,2,6
04/08/2014 03:00:00 PM,19,8,11
04/08/2014 04:00:00 PM,16,14,2
04/08/2014 05:00:00 PM,28,21,7
04/08/2014 06:00:00 PM,19,14,5
04/08/2014 07:00:00 PM,12,9,3
04/08/2014 08:00:00 PM,11,4,7
04/08/2014 09:00:00 PM,7,3,4
04/08/2014 10:00:00 PM,1,0,1
04/08/2014 11:00:00 PM,1,1,0
04/09/2014 12:00:00 AM,3,2,1
04/09/2014 01:00:00 AM,1,1,0
04/09/2014 02:00:00 AM,0,0,0
04/09/2014 03:00:00 AM,2,0,2
04/09/2014 04:00:00 AM,0,0,0
04/09/2014 05:00:00 AM,4,0,4
04/09/2014 06:00:00 AM,4,0,4
04/09/2014 07:00:00 AM,15,3,12
04/09/2014 08:00:00 AM,22,2,20
04/09/2014 09:00:00 AM,22,2,20
04/09/2014 10:00:00 AM,9,2,7
04/09/2014 11:00:00 AM,5,1,4
04/09/2014 12:00:00 PM,13,2,11
04/09/2014 01:00:00 PM,15,9,6
04/09/2014 02:00:00 PM,13,6,7
04/09/2014 03:00:00 PM,15,12,3
04/09/2014 04:00:00 PM,16,7,9
04/09/2014 05:00:00 PM,48,33,15
04/09/2014 06:00:00 PM,44,33,11
04/09/2014 07:00:00 PM,17,13,4
04/09/2014 08:00:00 PM,7,7,0
04/09/2014 09:00:00 PM,4,1,3
04/09/2014 10:00:00 PM,4,1,3
04/09/2014 11:00:00 PM,1,1,0
04/10/2014 12:00:00 AM,0,0,0
04/10/2014 01:00:00 AM,1,1,0
04/10/2014 02:00:00 AM,0,0,0
04/10/2014 03:00:00 AM,0,0,0
04/10/2014 04:00:00 AM,0,0,0
04/10/2014 05:00:00 AM,6,0,6
04/10/2014 06:00:00 AM,7,1,6
04/10/2014 07:00:00 AM,21,0,21
04/10/2014 08:00:00 AM,21,4,17
04/10/2014 09:00:00 AM,18,3,15
04/10/2014 10:00:00 AM,12,4,8
04/10/2014 11:00:00 AM,9,4,5
04/10/2014 12:00:00 PM,6,2,4
04/10/2014 01:00:00 PM,8,3,5
04/10/2014 02:00:00 PM,10,6,4
04/10/2014 03:00:00 PM,18,9,9
04/10/2014 04:00:00 PM,32,16,16
04/10/2014 05:00:00 PM,35,29,6
04/10/2014 06:00:00 PM,31,24,7
04/10/2014 07:00:00 PM,17,14,3
04/10/2014 08:00:00 PM,9,7,2
04/10/2014 09:00:00 PM,3,3,0
04/10/2014 10:00:00 PM,3,2,1
04/10/2014 11:00:00 PM,1,1,0
04/11/2014 12:00:00 AM,1,1,0
04/11/2014 01:00:00 AM,0,0,0
04/11/2014 02:00:00 AM,0,0,0
04/11/2014 03:00:00 AM,0,0,0
04/11/2014 04:00:00 AM,0,0,0
04/11/2014 05:00:00 AM,9,3,6
04/11/2014 06:00:00 AM,4,2,2
04/11/2014 07:00:00 AM,15,1,14
04/11/2014 08:00:00 AM,34,5,29
04/11/2014 09:00:00 AM,19,4,15
04/11/2014 10:00:00 AM,7,2,5
04/11/2014 11:00:00 AM,11,4,7
04/11/2014 12:00:00 PM,10,6,4
04/11/2014 01:00:00 PM,15,7,8
04/11/2014 02:00:00 PM,10,7,3
04/11/2014 03:00:00 PM,19,9,10
04/11/2014 04:00:00 PM,21,14,7
04/11/2014 05:00:00 PM,27,26,1
04/11/2014 06:00:00 PM,23,14,9
04/11/2014 07:00:00 PM,34,25,9
04/11/2014 08:00:00 PM,10,10,0
04/11/2014 09:00:00 PM,4,2,2
04/11/2014 10:00:00 PM,4,4,0
04/11/2014 11:00:00 PM,0,0,0
04/12/2014 12:00:00 AM,0,0,0
04/12/2014 01:00:00 AM,0,0,0
04/12/2014 02:00:00 AM,0,0,0
04/12/2014 03:00:00 AM,0,0,0
04/12/2014 04:00:00 AM,0,0,0
04/12/2014 05:00:00 AM,2,0,2
04/12/2014 06:00:00 AM,0,0,0
04/12/2014 07:00:00 AM,3,1,2
04/12/2014 08:00:00 AM,10,3,7
04/12/2014 09:00:00 AM,13,9,4
04/12/2014 10:00:00 AM,10,4,6
04/12/2014 11:00:00 AM,20,11,9
04/12/2014 12:00:00 PM,26,7,19
04/12/2014 01:00:00 PM,12,5,7
04/12/2014 02:00:00 PM,17,8,9
04/12/2014 03:00:00 PM,16,8,8
04/12/2014 04:00:00 PM,14,8,6
04/12/2014 05:00:00 PM,9,6,3
04/12/2014 06:00:00 PM,4,2,2
04/12/2014 07:00:00 PM,8,7,1
04/12/2014 08:00:00 PM,8,2,6
04/12/2014 09:00:00 PM,4,2,2
04/12/2014 10:00:00 PM,6,3,3
04/12/2014 11:00:00 PM,1,1,0
04/13/2014 12:00:00 AM,1,1,0
04/13/2014 01:00:00 AM,0,0,0
04/13/2014 02:00:00 AM,4,2,2
04/13/2014 03:00:00 AM,0,0,0
04/13/2014 04:00:00 AM,0,0,0
04/13/2014 05:00:00 AM,0,0,0
04/13/2014 06:00:00 AM,3,0,3
04/13/2014 07:00:00 AM,4,1,3
04/13/2014 08:00:00 AM,11,0,11
04/13/2014 09:00:00 AM,5,3,2
04/13/2014 10:00:00 AM,7,5,2
04/13/2014 11:00:00 AM,14,10,4
04/13/2014 12:00:00 PM,19,11,8
04/13/2014 01:00:00 PM,26,10,16
04/13/2014 02:00:00 PM,31,16,15
04/13/2014 03:00:00 PM,25,15,10
04/13/2014 04:00:00 PM,34,13,21
04/13/2014 05:00:00 PM,17,13,4
04/13/2014 06:00:00 PM,26,16,10
04/13/2014 07:00:00 PM,9,5,4
04/13/2014 08:00:00 PM,4,3,1
04/13/2014 09:00:00 PM,0,0,0
04/13/2014 10:00:00 PM,3,3,0
04/13/2014 11:00:00 PM,1,1,0
04/14/2014 12:00:00 AM,0,0,0
04/14/2014 01:00:00 AM,1,1,0
04/14/2014 02:00:00 AM,2,0,2
04/14/2014 03:00:00 AM,0,0,0
04/14/2014 04:00:00 AM,0,0,0
04/14/2014 05:00:00 AM,7,1,6
04/14/2014 06:00:00 AM,8,1,7
04/14/2014 07:00:00 AM,19,5,14
04/14/2014 08:00:00 AM,16,0,16
04/14/2014 09:00:00 AM,20,3,17
04/14/2014 10:00:00 AM,14,3,11
04/14/2014 11:00:00 AM,5,2,3
04/14/2014 12:00:00 PM,16,4,12
04/14/2014 01:00:00 PM,18,10,8
04/14/2014 02:00:00 PM,12,3,9
04/14/2014 03:00:00 PM,8,5,3
04/14/2014 04:00:00 PM,27,13,14
04/14/2014 05:00:00 PM,38,33,5
04/14/2014 06:00:00 PM,27,22,5
04/14/2014 07:00:00 PM,11,8,3
04/14/2014 08:00:00 PM,7,7,0
04/14/2014 09:00:00 PM,8,5,3
04/14/2014 10:00:00 PM,1,1,0
04/14/2014 11:00:00 PM,2,1,1
04/15/2014 12:00:00 AM,1,1,0
04/15/2014 01:00:00 AM,3,0,3
04/15/2014 02:00:00 AM,0,0,0
04/15/2014 03:00:00 AM,0,0,0
04/15/2014 04:00:00 AM,1,1,0
04/15/2014 05:00:00 AM,5,0,5
04/15/2014 06:00:00 AM,7,1,6
04/15/2014 07:00:00 AM,14,3,11
04/15/2014 08:00:00 AM,19,2,17
04/15/2014 09:00:00 AM,15,1,14
04/15/2014 10:00:00 AM,8,1,7
04/15/2014 11:00:00 AM,7,1,6
04/15/2014 12:00:00 PM,8,2,6
04/15/2014 01:00:00 PM,12,4,8
04/15/2014 02:00:00 PM,9,5,4
04/15/2014 03:00:00 PM,13,5,8
04/15/2014 04:00:00 PM,20,11,9
04/15/2014 05:00:00 PM,41,33,8
04/15/2014 06:00:00 PM,24,17,7
04/15/2014 07:00:00 PM,11,8,3
04/15/2014 08:00:00 PM,6,4,2
04/15/2014 09:00:00 PM,2,1,1
04/15/2014 10:00:00 PM,1,1,0
04/15/2014 11:00:00 PM,0,0,0
04/16/2014 12:00:00 AM,1,1,0
04/16/2014 01:00:00 AM,0,0,0
04/16/2014 02:00:00 AM,0,0,0
04/16/2014 03:00:00 AM,0,0,0
04/16/2014 04:00:00 AM,0,0,0
04/16/2014 05:00:00 AM,3,0,3
04/16/2014 06:00:00 AM,5,2,3
04/16/2014 07:00:00 AM,13,2,11
04/16/2014 08:00:00 AM,14,0,14
04/16/2014 09:00:00 AM,17,2,15
04/16/2014 10:00:00 AM,7,1,6
04/16/2014 11:00:00 AM,7,3,4
04/16/2014 12:00:00 PM,5,2,3
04/16/2014 01:00:00 PM,8,0,8
04/16/2014 02:00:00 PM,6,5,1
04/16/2014 03:00:00 PM,10,4,6
04/16/2014 04:00:00 PM,12,8,4
04/16/2014 05:00:00 PM,22,14,8
04/16/2014 06:00:00 PM,23,15,8
04/16/2014 07:00:00 PM,14,6,8
04/16/2014 08:00:00 PM,7,4,3
04/16/2014 09:00:00 PM,6,4,2
04/16/2014 10:00:00 PM,1,1,0
04/16/2014 11:00:00 PM,1,1,0
04/17/2014 12:00:00 AM,0,0,0
04/17/2014 01:00:00 AM,1,1,0
04/17/2014 02:00:00 AM,0,0,0
04/17/2014 03:00:00 AM,0,0,0
04/17/2014 04:00:00 AM,0,0,0
04/17/2014 05:00:00 AM,3,0,3
04/17/2014 06:00:00 AM,5,0,5
04/17/2014 07:00:00 AM,14,2,12
04/17/2014 08:00:00 AM,16,2,14
04/17/2014 09:00:00 AM,8,3,5
04/17/2014 10:00:00 AM,9,3,6
04/17/2014 11:00:00 AM,7,0,7
04/17/2014 12:00:00 PM,3,2,1
04/17/2014 01:00:00 PM,1,1,0
04/17/2014 02:00:00 PM,4,2,2
04/17/2014 03:00:00 PM,9,3,6
04/17/2014 04:00:00 PM,15,13,2
04/17/2014 05:00:00 PM,14,13,1
04/17/2014 06:00:00 PM,8,5,3
04/17/2014 07:00:00 PM,7,5,2
04/17/2014 08:00:00 PM,7,7,0
04/17/2014 09:00:00 PM,3,1,2
04/17/2014 10:00:00 PM,0,0,0
04/17/2014 11:00:00 PM,0,0,0
04/18/2014 12:00:00 AM,1,1,0
04/18/2014 01:00:00 AM,0,0,0
04/18/2014 02:00:00 AM,1,1,0
04/18/2014 03:00:00 AM,0,0,0
04/18/2014 04:00:00 AM,0,0,0
04/18/2014 05:00:00 AM,5,1,4
04/18/2014 06:00:00 AM,6,1,5
04/18/2014 07:00:00 AM,11,2,9
04/18/2014 08:00:00 AM,21,0,21
04/18/2014 09:00:00 AM,11,2,9
04/18/2014 10:00:00 AM,9,2,7
04/18/2014 11:00:00 AM,8,4,4
04/18/2014 12:00:00 PM,11,3,8
04/18/2014 01:00:00 PM,12,7,5
04/18/2014 02:00:00 PM,8,3,5
04/18/2014 03:00:00 PM,14,10,4
04/18/2014 04:00:00 PM,11,6,5
04/18/2014 05:00:00 PM,33,27,6
04/18/2014 06:00:00 PM,15,12,3
04/18/2014 07:00:00 PM,26,19,7
04/18/2014 08:00:00 PM,10,7,3
04/18/2014 09:00:00 PM,5,2,3
04/18/2014 10:00:00 PM,2,2,0
04/18/2014 11:00:00 PM,1,1,0
04/19/2014 12:00:00 AM,0,0,0
04/19/2014 01:00:00 AM,0,0,0
04/19/2014 02:00:00 AM,0,0,0
04/19/2014 03:00:00 AM,0,0,0
04/19/2014 04:00:00 AM,0,0,0
04/19/2014 05:00:00 AM,0,0,0
04/19/2014 06:00:00 AM,4,0,4
04/19/2014 07:00:00 AM,3,1,2
04/19/2014 08:00:00 AM,12,4,8
04/19/2014 09:00:00 AM,7,5,2
04/19/2014 10:00:00 AM,18,3,15
04/19/2014 11:00:00 AM,17,10,7
04/19/2014 12:00:00 PM,3,2,1
04/19/2014 01:00:00 PM,4,4,0
04/19/2014 02:00:00 PM,7,0,7
04/19/2014 03:00:00 PM,5,3,2
04/19/2014 04:00:00 PM,13,9,4
04/19/2014 05:00:00 PM,4,0,4
04/19/2014 06:00:00 PM,0,0,0
04/19/2014 07:00:00 PM,4,2,2
04/19/2014 08:00:00 PM,2,2,0
04/19/2014 09:00:00 PM,1,1,0
04/19/2014 10:00:00 PM,1,1,0
04/19/2014 11:00:00 PM,0,0,0
04/20/2014 12:00:00 AM,2,2,0
04/20/2014 01:00:00 AM,2,0,2
04/20/2014 02:00:00 AM,0,0,0
04/20/2014 03:00:00 AM,0,0,0
04/20/2014 04:00:00 AM,0,0,0
04/20/2014 05:00:00 AM,0,0,0
04/20/2014 06:00:00 AM,4,1,3
04/20/2014 07:00:00 AM,3,0,3
04/20/2014 08:00:00 AM,5,2,3
04/20/2014 09:00:00 AM,10,7,3
04/20/2014 10:00:00 AM,6,4,2
04/20/2014 11:00:00 AM,11,4,7
04/20/2014 12:00:00 PM,22,12,10
04/20/2014 01:00:00 PM,12,6,6
04/20/2014 02:00:00 PM,20,9,11
04/20/2014 03:00:00 PM,12,5,7
04/20/2014 04:00:00 PM,14,9,5
04/20/2014 05:00:00 PM,9,8,1
04/20/2014 06:00:00 PM,3,1,2
