Date,Broadway Cycle Track North Of E Union St Total,NB,SB
04/01/2014 12:00:00 AM,0,0,0
04/01/2014 01:00:00 AM,2,2,0
04/01/2014 02:00:00 AM,0,0,0
04/01/2014 03:00:00 AM,2,0,2
04/01/2014 04:00:00 AM,0,0,0
04/01/2014 05:00:00 AM,4,0,4
04/01/2014 06:00:00 AM,1,1,0
04/01/2014 07:00:00 AM,11,8,3
04/01/2014 08:00:00 AM,17,16,1
04/01/2014 09:00:00 AM,21,9,12
04/01/2014 10:00:00 AM,6,1,5
04/01/2014 11:00:00 AM,5,0,5
04/01/2014 12:00:00 PM,16,10,6
04/01/2014 01:00:00 PM,10,7,3
04/01/2014 02:00:00 PM,9,3,6
04/01/2014 03:00:00 PM,13,9,4
04/01/2014 04:00:00 PM,29,18,11
04/01/2014 05:00:00 PM,35,15,20
04/01/2014 06:00:00 PM,32,17,15
04/01/2014 07:00:00 PM,23,13,10
04/01/2014 08:00:00 PM,20,9,11
04/01/2014 09:00:00 PM,3,2,1
04/01/2014 10:00:00 PM,8,0,8
04/01/2014 11:00:00 PM,4,0,4
04/02/2014 12:00:00 AM,3,1,2
04/02/2014 01:00:00 AM,0,0,0
04/02/2014 02:00:00 AM,0,0,0
04/02/2014 03:00:00 AM,0,0,0
04/02/2014 04:00:00 AM,0,0,0
04/02/2014 05:00:00 AM,4,2,2
04/02/2014 06:00:00 AM,11,6,5
04/02/2014 07:00:00 AM,11,4,7
04/02/2014 08:00:00 AM,14,10,4
04/02/2014 09:00:00 AM,16,5,11
04/02/2014 10:00:00 AM,16,7,9
04/02/2014 11:00:00 AM,8,6,2
04/02/2014 12:00:00 PM,16,7,9
04/02/2014 01:00:00 PM,19,12,7
04/02/2014 02:00:00 PM,17,15,2
04/02/2014 03:00:00 PM,22,7,15
04/02/2014 04:00:00 PM,25,14,11
04/02/2014 05:00:00 PM,50,34,16
04/02/2014 06:00:00 PM,32,15,17
04/02/2014 07:00:00 PM,22,18,4
04/02/2014 08:00:00 PM,13,5,8
04/02/2014 09:00:00 PM,15,7,8
04/02/2014 10:00:00 PM,6,2,4
04/02/2014 11:00:00 PM,2,0,2
04/03/2014 12:00:00 AM,2,2,0
04/03/2014 01:00:00 AM,0,0,0
04/03/2014 02:00:00 AM,0,0,0
04/03/2014 03:00:00 AM,0,0,0
04/03/2014 04:00:00 AM,0,0,0
04/03/2014 05:00:00 AM,4,2,2
04/03/2014 06:00:00 AM,7,2,5
04/03/2014 07:00:00 AM,7,3,4
04/03/2014 08:00:00 AM,9,9,0
04/03/2014 09:00:00 AM,16,3,13
04/03/2014 10:00:00 AM,13,5,8
04/03/2014 11:00:00 AM,10,4,6
04/03/2014 12:00:00 PM,16,7,9
04/03/2014 01:00:00 PM,18,6,12
04/03/2014 02:00:00 PM,10,2,8
04/03/2014 03:00:00 PM,19,11,8
04/03/2014 04:00:00 PM,16,7,9
04/03/2014 05:00:00 PM,27,15,12
04/03/2014 06:00:00 PM,22,10,12
04/03/2014 07:00:00 PM,19,12,7
