Date,BGT North of NE 70th Total,Ped South,Ped North,Bike North,Bike South
04/01/2014 12:00:00 AM,1,0,0,1,0
04/01/2014 01:00:00 AM,1,0,0,0,1
04/01/2014 02:00:00 AM,1,0,0,0,1
04/01/2014 03:00:00 AM,0,0,0,0,0
04/01/2014 04:00:00 AM,3,0,0,2,1
04/01/2014 05:00:00 AM,15,1,1,12,1
04/01/2014 06:00:00 AM,45,13,9,20,3
04/01/2014 07:00:00 AM,94,8,11,62,13
04/01/2014 08:00:00 AM,95,13,8,48,26
04/01/2014 09:00:00 AM,85,13,11,34,27
04/01/2014 10:00:00 AM,85,16,23,32,14
04/01/2014 11:00:00 AM,82,16,32,15,19
04/01/2014 12:00:00 PM,109,36,20,35,18
04/01/2014 01:00:00 PM,62,9,7,15,31
04/01/2014 02:00:00 PM,106,21,14,35,36
04/01/2014 03:00:00 PM,114,15,11,41,47
04/01/2014 04:00:00 PM,173,23,15,49,86
04/01/2014 05:00:00 PM,223,16,27,57,123
04/01/2014 06:00:00 PM,198,27,21,63,87
04/01/2014 07:00:00 PM,116,16,8,38,54
04/01/2014 08:00:00 PM,42,6,1,18,17
04/01/2014 09:00:00 PM,19,2,3,7,7
04/01/2014 10:00:00 PM,2,0,0,1,1
04/01/2014 11:00:00 PM,0,0,0,0,0
04/02/2014 12:00:00 AM,1,0,0,0,1
04/02/2014 01:00:00 AM,1,0,0,0,1
04/02/2014 02:00:00 AM,0,0,0,0,0
04/02/2014 03:00:00 AM,1,0,0,0,1
04/02/2014 04:00:00 AM,3,0,0,3,0
04/02/2014 05:00:00 AM,12,2,1,8,1
04/02/2014 06:00:00 AM,42,7,9,19,7
04/02/2014 07:00:00 AM,100,15,6,66,13
04/02/2014 08:00:00 AM,101,12,12,56,21
04/02/2014 09:00:00 AM,66,10,10,29,17
04/02/2014 10:00:00 AM,75,11,23,23,18
04/02/2014 11:00:00 AM,69,13,14,21,21
04/02/2014 12:00:00 PM,69,12,15,17,25
04/02/2014 01:00:00 PM,65,22,7,20,16
04/02/2014 02:00:00 PM,77,9,12,20,36
04/02/2014 03:00:00 PM,91,18,9,32,32
04/02/2014 04:00:00 PM,160,18,24,37,81
04/02/2014 05:00:00 PM,214,11,21,56,126
04/02/2014 06:00:00 PM,193,29,29,49,86
04/02/2014 07:00:00 PM,103,13,8,45,37
04/02/2014 08:00:00 PM,15,3,2,2,8
04/02/2014 09:00:00 PM,8,2,0,5,1
04/02/2014 10:00:00 PM,2,0,0,0,2
04/02/2014 11:00:00 PM,1,0,0,0,1
04/03/2014 12:00:00 AM,0,0,0,0,0
04/03/2014 01:00:00 AM,3,0,0,0,3
04/03/2014 02:00:00 AM,0,0,0,0,0
04/03/2014 03:00:00 AM,0,0,0,0,0
04/03/2014 04:00:00 AM,3,0,0,2,1
04/03/2014 05:00:00 AM,15,2,3,9,1
04/03/2014 06:00:00 AM,22,3,2,14,3
04/03/2014 07:00:00 AM,66,8,7,40,11
04/03/2014 08:00:00 AM,77,15,11,37,14
04/03/2014 09:00:00 AM,78,13,10,35,20
04/03/2014 10:00:00 AM,59,17,20,11,11
04/03/2014 11:00:00 AM,53,4,10,21,18
04/03/2014 12:00:00 PM,79,26,10,18,25
04/03/2014 01:00:00 PM,65,16,8,25,16
04/03/2014 02:00:00 PM,39,4,6,14,15
04/03/2014 03:00:00 PM,45,8,6,15,16
04/03/2014 04:00:00 PM,42,2,7,5,28
04/03/2014 05:00:00 PM,78,13,12,14,39
04/03/2014 06:00:00 PM,49,5,5,10,29
04/03/2014 07:00:00 PM,30,4,3,6,17
04/03/2014 08:00:00 PM,8,1,2,2,3
04/03/2014 09:00:00 PM,7,1,0,2,4
04/03/2014 10:00:00 PM,1,0,0,0,1
04/03/2014 11:00:00 PM,2,0,0,1,1
04/04/2014 12:00:00 AM,2,0,0,0,2
04/04/2014 01:00:00 AM,0,0,0,0,0
04/04/2014 02:00:00 AM,2,0,0,1,1
04/04/2014 03:00:00 AM,0,0,0,0,0
