Date,Elliott Bay Trail in Myrtle Edwards Park Total,Ped North,Ped South,Bike North,Bike South
04/01/2014 12:00:00 AM,4,1,1,1,1
04/01/2014 01:00:00 AM,5,0,1,3,1
04/01/2014 02:00:00 AM,5,1,0,3,1
04/01/2014 03:00:00 AM,7,0,7,0,0
04/01/2014 04:00:00 AM,8,1,5,0,2
04/01/2014 05:00:00 AM,32,7,2,7,16
04/01/2014 06:00:00 AM,114,46,34,15,19
04/01/2014 07:00:00 AM,322,72,86,27,137
04/01/2014 08:00:00 AM,259,47,53,26,133
04/01/2014 09:00:00 AM,153,37,49,21,46
04/01/2014 10:00:00 AM,85,19,39,7,20
04/01/2014 11:00:00 AM,134,68,44,10,12
04/01/2014 12:00:00 PM,299,132,138,13,16
04/01/2014 01:00:00 PM,204,73,89,21,21
04/01/2014 02:00:00 PM,241,85,75,46,35
04/01/2014 03:00:00 PM,373,127,90,121,35
04/01/2014 04:00:00 PM,563,162,131,200,70
04/01/2014 05:00:00 PM,588,206,166,143,73
04/01/2014 06:00:00 PM,383,123,171,55,34
04/01/2014 07:00:00 PM,96,30,38,21,7
04/01/2014 08:00:00 PM,25,5,7,8,5
04/01/2014 09:00:00 PM,16,1,5,8,2
04/01/2014 10:00:00 PM,17,5,2,8,2
04/01/2014 11:00:00 PM,7,1,3,3,0
04/02/2014 12:00:00 AM,5,3,0,1,1
04/02/2014 01:00:00 AM,4,0,2,1,1
04/02/2014 02:00:00 AM,0,0,0,0,0
04/02/2014 03:00:00 AM,2,2,0,0,0
04/02/2014 04:00:00 AM,39,10,7,9,13
04/02/2014 05:00:00 AM,96,33,22,13,28
04/02/2014 06:00:00 AM,228,47,56,37,88
04/02/2014 07:00:00 AM,243,47,44,35,117
04/02/2014 08:00:00 AM,151,36,45,8,62
04/02/2014 09:00:00 AM,96,28,31,14,23
04/02/2014 10:00:00 AM,133,71,43,8,11
04/02/2014 11:00:00 AM,300,143,133,9,15
04/02/2014 12:00:00 PM,207,86,91,16,14
04/02/2014 01:00:00 PM,211,90,71,25,25
04/02/2014 02:00:00 PM,249,120,60,36,33
04/02/2014 03:00:00 PM,349,108,106,92,43
04/02/2014 04:00:00 PM,544,153,135,187,69
04/02/2014 05:00:00 PM,481,165,146,112,58
04/02/2014 06:00:00 PM,305,114,123,45,23
04/02/2014 07:00:00 PM,91,17,39,20,15
04/02/2014 08:00:00 PM,16,3,5,6,2
