Date,Fremont Bridge West Sidewalk,Fremont Bridge East Sidewalk
04/01/2014 12:00:00 AM,5,13
04/01/2014 01:00:00 AM,0,3
04/01/2014 02:00:00 AM,0,8
04/01/2014 03:00:00 AM,1,0
04/01/2014 04:00:00 AM,1,1
04/01/2014 05:00:00 AM,14,9
04/01/2014 06:00:00 AM,92,30
04/01/2014 07:00:00 AM,245,85
04/01/2014 08:00:00 AM,344,134
04/01/2014 09:00:00 AM,194,100
04/01/2014 10:00:00 AM,62,56
04/01/2014 11:00:00 AM,48,32
04/01/2014 12:00:00 PM,41,27
04/01/2014 01:00:00 PM,48,41
04/01/2014 02:00:00 PM,54,51
04/01/2014 03:00:00 PM,80,90
04/01/2014 04:00:00 PM,93,168
04/01/2014 05:00:00 PM,206,395
04/01/2014 06:00:00 PM,179,330
04/01/2014 07:00:00 PM,99,142
04/01/2014 08:00:00 PM,59,65
04/01/2014 09:00:00 PM,35,35
04/01/2014 10:00:00 PM,18,24
04/01/2014 11:00:00 PM,18,16
04/02/2014 12:00:00 AM,5,3
04/02/2014 01:00:00 AM,8,3
04/02/2014 02:00:00 AM,1,2
04/02/2014 03:00:00 AM,2,0
04/02/2014 04:00:00 AM,5,2
04/02/2014 05:00:00 AM,18,7
04/02/2014 06:00:00 AM,86,26
04/02/2014 07:00:00 AM,223,83
04/02/2014 08:00:00 AM,342,132
04/02/2014 09:00:00 AM,199,96
04/02/2014 10:00:00 AM,75,53
04/02/2014 11:00:00 AM,40,26
04/02/2014 12:00:00 PM,43,48
04/02/2014 01:00:00 PM,57,43
04/02/2014 02:00:00 PM,60,53
04/02/2014 03:00:00 PM,70,68
04/02/2014 04:00:00 PM,100,159
04/02/2014 05:00:00 PM,203,373
04/02/2014 06:00:00 PM,187,287
04/02/2014 07:00:00 PM,85,117
04/02/2014 08:00:00 PM,67,66
04/02/2014 09:00:00 PM,38,43
04/02/2014 10:00:00 PM,20,31
04/02/2014 11:00:00 PM,13,4
04/03/2014 12:00:00 AM,8,14
04/03/2014 01:00:00 AM,3,4
04/03/2014 02:00:00 AM,1,1
04/03/2014 03:00:00 AM,1,1
04/03/2014 04:00:00 AM,1,1
04/03/2014 05:00:00 AM,10,8
04/03/2014 06:00:00 AM,66,21
04/03/2014 07:00:00 AM,189,74
04/03/2014 08:00:00 AM,233,111
04/03/2014 09:00:00 AM,166,94
04/03/2014 10:00:00 AM,64,54
04/03/2014 11:00:00 AM,50,37
04/03/2014 12:00:00 PM,43,33
04/03/2014 01:00:00 PM,39,32
04/03/2014 02:00:00 PM,43,34
04/03/2014 03:00:00 PM,44,34
04/03/2014 04:00:00 PM,66,119
04/03/2014 05:00:00 PM,81,214
04/03/2014 06:00:00 PM,87,217
04/03/2014 07:00:00 PM,58,95
04/03/2014 08:00:00 PM,30,37
04/03/2014 09:00:00 PM,21,33
04/03/2014 10:00:00 PM,11,19
04/03/2014 11:00:00 PM,11,10
04/04/2014 12:00:00 AM,3,5
04/04/2014 01:00:00 AM,2,2
04/04/2014 02:00:00 AM,2,1
04/04/2014 03:00:00 AM,2,1
04/04/2014 04:00:00 AM,1,4
04/04/2014 05:00:00 AM,11,7
04/04/2014 06:00:00 AM,51,22
04/04/2014 07:00:00 AM,143,56
04/04/2014 08:00:00 AM,257,99
04/04/2014 09:00:00 AM,159,99
04/04/2014 10:00:00 AM,55,49
04/04/2014 11:00:00 AM,47,34
04/04/2014 12:00:00 PM,35,38
04/04/2014 01:00:00 PM,40,36
04/04/2014 02:00:00 PM,54,54
04/04/2014 03:00:00 PM,61,78
04/04/2014 04:00:00 PM,91,119
04/04/2014 05:00:00 PM,128,286
04/04/2014 06:00:00 PM,117,190
04/04/2014 07:00:00 PM,73,103
04/04/2014 08:00:00 PM,32,46
04/04/2014 09:00:00 PM,23,27
04/04/2014 10:00:00 PM,15,27
04/04/2014 11:00:00 PM,13,19
04/05/2014 12:00:00 AM,11,8
04/05/2014 01:00:00 AM,7,4
04/05/2014 02:00:00 AM,7,7
04/05/2014 03:00:00 AM,1,5
04/05/2014 04:00:00 AM,1,0
04/05/2014 05:00:00 AM,6,2
04/05/2014 06:00:00 AM,13,8
04/05/2014 07:00:00 AM,8,10
04/05/2014 08:00:00 AM,34,24
04/05/2014 09:00:00 AM,44,51
04/05/2014 10:00:00 AM,84,56
04/05/2014 11:00:00 AM,46,39
04/05/2014 12:00:00 PM,46,37
04/05/2014 01:00:00 PM,47,35
04/05/2014 02:00:00 PM,45,36
04/05/2014 03:00:00 PM,44,32
04/05/2014 04:00:00 PM,26,30
04/05/2014 05:00:00 PM,19,25
04/05/2014 06:00:00 PM,20,17
04/05/2014 07:00:00 PM,23,18
04/05/2014 08:00:00 PM,14,10
04/05/2014 09:00:00 PM,8,7
04/05/2014 10:00:00 PM,6,7
04/05/2014 11:00:00 PM,9,7
04/06/2014 12:00:00 AM,4,3
04/06/2014 01:00:00 AM,4,4
04/06/2014 02:00:00 AM,1,1
04/06/2014 03:00:00 AM,1,4
04/06/2014 04:00:00 AM,3,1
04/06/2014 05:00:00 AM,4,4
04/06/2014 06:00:00 AM,7,5
04/06/2014 07:00:00 AM,19,7
04/06/2014 08:00:00 AM,36,15
04/06/2014 09:00:00 AM,38,35
04/06/2014 10:00:00 AM,65,35
04/06/2014 11:00:00 AM,60,53
04/06/2014 12:00:00 PM,86,72
04/06/2014 01:00:00 PM,87,80
04/06/2014 02:00:00 PM,129,65
04/06/2014 03:00:00 PM,112,59
04/06/2014 04:00:00 PM,68,60
04/06/2014 05:00:00 PM,56,48
04/06/2014 06:00:00 PM,53,40
04/06/2014 07:00:00 PM,24,26
04/06/2014 08:00:00 PM,18,9
04/06/2014 09:00:00 PM,8,14
04/06/2014 10:00:00 PM,7,6
04/06/2014 11:00:00 PM,6,1
04/07/2014 12:00:00 AM,3,8
04/07/2014 01:00:00 AM,1,2
04/07/2014 02:00:00 AM,1,0
04/07/2014 03:00:00 AM,2,2
04/07/2014 04:00:00 AM,3,0
04/07/2014 05:00:00 AM,22,10
04/07/2014 06:00:00 AM,73,36
04/07/2014 07:00:00 AM,251,79
04/07/2014 08:00:00 AM,342,164
04/07/2014 09:00:00 AM,235,116
04/07/2014 10:00:00 AM,75,54
04/07/2014 11:00:00 AM,71,49
04/07/2014 12:00:00 PM,73,38
04/07/2014 01:00:00 PM,62,60
04/07/2014 02:00:00 PM,71,74
04/07/2014 03:00:00 PM,95,104
04/07/2014 04:00:00 PM,140,205
04/07/2014 05:00:00 PM,232,473
04/07/2014 06:00:00 PM,211,380
04/07/2014 07:00:00 PM,105,129
04/07/2014 08:00:00 PM,64,61
04/07/2014 09:00:00 PM,45,37
04/07/2014 10:00:00 PM,16,24
04/07/2014 11:00:00 PM,15,6
04/08/2014 12:00:00 AM,7,8
04/08/2014 01:00:00 AM,2,5
04/08/2014 02:00:00 AM,1,1
04/08/2014 03:00:00 AM,3,1
04/08/2014 04:00:00 AM,1,1
04/08/2014 05:00:00 AM,19,8
04/08/2014 06:00:00 AM,61,26
04/08/2014 07:00:00 AM,212,94
04/08/2014 08:00:00 AM,323,128
04/08/2014 09:00:00 AM,188,117
04/08/2014 10:00:00 AM,62,50
04/08/2014 11:00:00 AM,49,19
04/08/2014 12:00:00 PM,42,28
04/08/2014 01:00:00 PM,38,35
04/08/2014 02:00:00 PM,31,36
04/08/2014 03:00:00 PM,48,53
04/08/2014 04:00:00 PM,54,103
04/08/2014 05:00:00 PM,97,244
04/08/2014 06:00:00 PM,83,213
04/08/2014 07:00:00 PM,45,91
04/08/2014 08:00:00 PM,31,40
04/08/2014 09:00:00 PM,23,42
04/08/2014 10:00:00 PM,11,15
04/08/2014 11:00:00 PM,10,7
04/09/2014 12:00:00 AM,1,6
04/09/2014 01:00:00 AM,3,5
04/09/2014 02:00:00 AM,1,0
04/09/2014 03:00:00 AM,2,1
04/09/2014 04:00:00 AM,4,2
04/09/2014 05:00:00 AM,18,8
04/09/2014 06:00:00 AM,87,26
04/09/2014 07:00:00 AM,206,83
04/09/2014 08:00:00 AM,328,144
04/09/2014 09:00:00 AM,193,110
04/09/2014 10:00:00 AM,102,61
04/09/2014 11:00:00 AM,56,41
04/09/2014 12:00:00 PM,57,39
