Date,MTS Trail West of I-90 Bridge Total,Ped East,Ped West,Bike East,Bike West
04/01/2014 12:00:00 AM,0,0,0,0,0
04/01/2014 01:00:00 AM,0,0,0,0,0
04/01/2014 02:00:00 AM,0,0,0,0,0
04/01/2014 03:00:00 AM,1,0,1,0,0
04/01/2014 04:00:00 AM,2,1,0,1,0
04/01/2014 05:00:00 AM,9,0,0,6,3
04/01/2014 06:00:00 AM,26,4,1,14,7
04/01/2014 07:00:00 AM,68,5,5,27,31
04/01/2014 08:00:00 AM,74,9,10,31,24
04/01/2014 09:00:00 AM,33,1,1,12,19
04/01/2014 10:00:00 AM,49,4,9,12,24
04/01/2014 11:00:00 AM,49,7,11,22,9
04/01/2014 12:00:00 PM,27,0,1,19,7
04/01/2014 01:00:00 PM,35,2,2,12,19
04/01/2014 02:00:00 PM,36,5,4,18,9
04/01/2014 03:00:00 PM,45,8,3,10,24
04/01/2014 04:00:00 PM,97,16,13,26,42
04/01/2014 05:00:00 PM,163,12,17,60,74
04/01/2014 06:00:00 PM,149,16,20,67,46
04/01/2014 07:00:00 PM,77,6,10,36,25
04/01/2014 08:00:00 PM,14,1,0,12,1
04/01/2014 09:00:00 PM,4,2,0,0,2
04/01/2014 10:00:00 PM,0,0,0,0,0
04/01/2014 11:00:00 PM,0,0,0,0,0
04/02/2014 12:00:00 AM,0,0,0,0,0
04/02/2014 01:00:00 AM,1,0,0,1,0
04/02/2014 02:00:00 AM,0,0,0,0,0
04/02/2014 03:00:00 AM,2,0,2,0,0
04/02/2014 04:00:00 AM,4,2,0,1,1
04/02/2014 05:00:00 AM,12,1,1,6,4
04/02/2014 06:00:00 AM,23,1,4,11,7
04/02/2014 07:00:00 AM,84,6,12,36,30
04/02/2014 08:00:00 AM,69,3,5,36,25
04/02/2014 09:00:00 AM,37,0,2,17,18
04/02/2014 10:00:00 AM,22,1,3,14,4
04/02/2014 11:00:00 AM,28,5,2,10,11
04/02/2014 12:00:00 PM,14,1,3,4,6
04/02/2014 01:00:00 PM,32,6,5,10,11
04/02/2014 02:00:00 PM,29,3,3,12,11
04/02/2014 03:00:00 PM,47,5,7,19,16
04/02/2014 04:00:00 PM,93,9,15,36,33
04/02/2014 05:00:00 PM,146,9,18,56,63
04/02/2014 06:00:00 PM,153,15,15,79,44
04/02/2014 07:00:00 PM,66,6,4,43,13
04/02/2014 08:00:00 PM,23,1,6,6,10
04/02/2014 09:00:00 PM,6,2,0,2,2
04/02/2014 10:00:00 PM,4,2,2,0,0
04/02/2014 11:00:00 PM,3,1,2,0,0
04/03/2014 12:00:00 AM,1,0,0,1,0
04/03/2014 01:00:00 AM,1,0,1,0,0
04/03/2014 02:00:00 AM,0,0,0,0,0
04/03/2014 03:00:00 AM,0,0,0,0,0
04/03/2014 04:00:00 AM,2,0,0,2,0
04/03/2014 05:00:00 AM,7,0,0,5,2
04/03/2014 06:00:00 AM,22,0,0,11,11
04/03/2014 07:00:00 AM,49,5,8,20,16
04/03/2014 08:00:00 AM,56,3,7,26,20
04/03/2014 09:00:00 AM,41,6,7,11,17
04/03/2014 10:00:00 AM,18,2,2,8,6
04/03/2014 11:00:00 AM,24,1,3,14,6
04/03/2014 12:00:00 PM,27,5,4,9,9
04/03/2014 01:00:00 PM,20,0,2,10,8
04/03/2014 02:00:00 PM,17,1,2,9,5
04/03/2014 03:00:00 PM,9,1,0,5,3
04/03/2014 04:00:00 PM,23,2,2,9,10
04/03/2014 05:00:00 PM,49,2,8,21,18
04/03/2014 06:00:00 PM,37,4,6,15,12
04/03/2014 07:00:00 PM,52,3,4,21,24
04/03/2014 08:00:00 PM,2,0,0,2,0
04/03/2014 09:00:00 PM,6,2,1,2,1
04/03/2014 10:00:00 PM,3,1,0,0,2
04/03/2014 11:00:00 PM,0,0,0,0,0
04/04/2014 12:00:00 AM,1,0,0,1,0
04/04/2014 01:00:00 AM,0,0,0,0,0
04/04/2014 02:00:00 AM,0,0,0,0,0
04/04/2014 03:00:00 AM,0,0,0,0,0
04/04/2014 04:00:00 AM,1,0,0,1,0
