Date,NW 58th St Greenway st 22nd Ave NW Total,East,West
04/01/2014 12:00:00 AM,4,2,2
04/01/2014 01:00:00 AM,7,2,5
04/01/2014 02:00:00 AM,2,0,2
04/01/2014 03:00:00 AM,1,1,0
04/01/2014 04:00:00 AM,1,1,0
04/01/2014 05:00:00 AM,5,3,2
04/01/2014 06:00:00 AM,13,9,4
04/01/2014 07:00:00 AM,29,25,4
04/01/2014 08:00:00 AM,55,21,34
04/01/2014 09:00:00 AM,55,31,24
04/01/2014 10:00:00 AM,41,22,19
04/01/2014 11:00:00 AM,37,17,20
04/01/2014 12:00:00 PM,44,24,20
04/01/2014 01:00:00 PM,63,32,31
04/01/2014 02:00:00 PM,29,14,15
04/01/2014 03:00:00 PM,22,13,9
04/01/2014 04:00:00 PM,58,30,28
04/01/2014 05:00:00 PM,57,27,30
04/01/2014 06:00:00 PM,56,36,20
04/01/2014 07:00:00 PM,35,21,14
04/01/2014 08:00:00 PM,35,23,12
04/01/2014 09:00:00 PM,14,12,2
04/01/2014 10:00:00 PM,11,5,6
04/01/2014 11:00:00 PM,2,1,1
04/02/2014 12:00:00 AM,1,1,0
04/02/2014 01:00:00 AM,0,0,0
04/02/2014 02:00:00 AM,2,0,2
04/02/2014 03:00:00 AM,0,0,0
04/02/2014 04:00:00 AM,0,0,0
04/02/2014 05:00:00 AM,6,4,2
04/02/2014 06:00:00 AM,6,5,1
04/02/2014 07:00:00 AM,28,21,7
04/02/2014 08:00:00 AM,50,23,27
04/02/2014 09:00:00 AM,45,31,14
04/02/2014 10:00:00 AM,35,19,16
04/02/2014 11:00:00 AM,27,9,18
04/02/2014 12:00:00 PM,44,19,25
04/02/2014 01:00:00 PM,38,9,29
04/02/2014 02:00:00 PM,37,18,19
04/02/2014 03:00:00 PM,41,22,19
04/02/2014 04:00:00 PM,52,26,26
04/02/2014 05:00:00 PM,67,23,44
04/02/2014 06:00:00 PM,54,28,26
04/02/2014 07:00:00 PM,23,11,12
04/02/2014 08:00:00 PM,22,19,3
04/02/2014 09:00:00 PM,12,7,5
04/02/2014 10:00:00 PM,6,6,0
04/02/2014 11:00:00 PM,2,2,0
04/03/2014 12:00:00 AM,0,0,0
04/03/2014 01:00:00 AM,1,0,1
04/03/2014 02:00:00 AM,2,0,2
04/03/2014 03:00:00 AM,0,0,0
04/03/2014 04:00:00 AM,5,4,1
04/03/2014 05:00:00 AM,10,7,3
04/03/2014 06:00:00 AM,11,6,5
04/03/2014 07:00:00 AM,18,15,3
04/03/2014 08:00:00 AM,31,16,15
04/03/2014 09:00:00 AM,34,20,14
04/03/2014 10:00:00 AM,32,3,29
04/03/2014 11:00:00 AM,23,9,14
04/03/2014 12:00:00 PM,28,17,11
04/03/2014 01:00:00 PM,36,16,20
04/03/2014 02:00:00 PM,60,33,27
04/03/2014 03:00:00 PM,36,24,12
04/03/2014 04:00:00 PM,38,21,17
04/03/2014 05:00:00 PM,39,26,13
04/03/2014 06:00:00 PM,66,32,34
04/03/2014 07:00:00 PM,46,21,25
04/03/2014 08:00:00 PM,19,12,7
04/03/2014 09:00:00 PM,14,3,11
04/03/2014 10:00:00 PM,5,0,5
04/03/2014 11:00:00 PM,14,8,6
04/04/2014 12:00:00 AM,0,0,0
04/04/2014 01:00:00 AM,1,0,1
04/04/2014 02:00:00 AM,0,0,0
04/04/2014 03:00:00 AM,0,0,0
04/04/2014 04:00:00 AM,0,0,0
04/04/2014 05:00:00 AM,5,3,2
04/04/2014 06:00:00 AM,20,9,11
04/04/2014 07:00:00 AM,17,10,7
04/04/2014 08:00:00 AM,36,23,13
04/04/2014 09:00:00 AM,50,25,25
04/04/2014 10:00:00 AM,26,15,11
04/04/2014 11:00:00 AM,36,9,27
04/04/2014 12:00:00 PM,56,21,35
04/04/2014 01:00:00 PM,50,18,32
04/04/2014 02:00:00 PM,46,26,20
04/04/2014 03:00:00 PM,39,19,20
04/04/2014 04:00:00 PM,52,24,28
04/04/2014 05:00:00 PM,69,38,31
04/04/2014 06:00:00 PM,55,26,29
04/04/2014 07:00:00 PM,44,23,21
04/04/2014 08:00:00 PM,26,15,11
04/04/2014 09:00:00 PM,11,6,5
04/04/2014 10:00:00 PM,23,16,7
04/04/2014 11:00:00 PM,4,1,3
04/05/2014 12:00:00 AM,7,4,3
04/05/2014 01:00:00 AM,9,2,7
04/05/2014 02:00:00 AM,3,3,0
04/05/2014 03:00:00 AM,7,5,2
04/05/2014 04:00:00 AM,0,0,0
04/05/2014 05:00:00 AM,2,2,0
04/05/2014 06:00:00 AM,0,0,0
04/05/2014 07:00:00 AM,4,3,1
04/05/2014 08:00:00 AM,25,16,9
04/05/2014 09:00:00 AM,24,11,13
04/05/2014 10:00:00 AM,48,26,22
04/05/2014 11:00:00 AM,48,26,22
04/05/2014 12:00:00 PM,75,40,35
04/05/2014 01:00:00 PM,69,37,32
04/05/2014 02:00:00 PM,71,29,42
04/05/2014 03:00:00 PM,46,27,19
04/05/2014 04:00:00 PM,39,17,22
04/05/2014 05:00:00 PM,51,35,16
04/05/2014 06:00:00 PM,40,14,26
04/05/2014 07:00:00 PM,30,19,11
04/05/2014 08:00:00 PM,38,13,25
04/05/2014 09:00:00 PM,15,12,3
04/05/2014 10:00:00 PM,9,8,1
04/05/2014 11:00:00 PM,0,0,0
04/06/2014 12:00:00 AM,15,9,6
04/06/2014 01:00:00 AM,0,0,0
04/06/2014 02:00:00 AM,2,2,0
04/06/2014 03:00:00 AM,3,2,1
04/06/2014 04:00:00 AM,0,0,0
04/06/2014 05:00:00 AM,0,0,0
04/06/2014 06:00:00 AM,0,0,0
04/06/2014 07:00:00 AM,4,3,1
04/06/2014 08:00:00 AM,14,4,10
04/06/2014 09:00:00 AM,14,6,8
04/06/2014 10:00:00 AM,39,21,18
04/06/2014 11:00:00 AM,42,14,28
04/06/2014 12:00:00 PM,41,16,25
04/06/2014 01:00:00 PM,54,33,21
04/06/2014 02:00:00 PM,60,32,28
04/06/2014 03:00:00 PM,35,19,16
04/06/2014 04:00:00 PM,52,34,18
04/06/2014 05:00:00 PM,35,20,15
04/06/2014 06:00:00 PM,33,20,13
04/06/2014 07:00:00 PM,35,17,18
04/06/2014 08:00:00 PM,15,8,7
04/06/2014 09:00:00 PM,18,11,7
04/06/2014 10:00:00 PM,11,8,3
04/06/2014 11:00:00 PM,3,3,0
04/07/2014 12:00:00 AM,0,0,0
04/07/2014 01:00:00 AM,5,3,2
04/07/2014 02:00:00 AM,2,0,2
04/07/2014 03:00:00 AM,3,3,0
04/07/2014 04:00:00 AM,2,2,0
04/07/2014 05:00:00 AM,2,2,0
04/07/2014 06:00:00 AM,14,10,4
04/07/2014 07:00:00 AM,50,29,21
04/07/2014 08:00:00 AM,70,49,21
04/07/2014 09:00:00 AM,39,28,11
04/07/2014 10:00:00 AM,42,24,18
04/07/2014 11:00:00 AM,48,25,23
04/07/2014 12:00:00 PM,40,23,17
04/07/2014 01:00:00 PM,57,35,22
04/07/2014 02:00:00 PM,41,21,20
04/07/2014 03:00:00 PM,43,30,13
04/07/2014 04:00:00 PM,40,29,11
04/07/2014 05:00:00 PM,52,27,25
04/07/2014 06:00:00 PM,57,30,27
04/07/2014 07:00:00 PM,29,16,13
04/07/2014 08:00:00 PM,18,9,9
04/07/2014 09:00:00 PM,17,14,3
04/07/2014 10:00:00 PM,8,4,4
04/07/2014 11:00:00 PM,6,3,3
04/08/2014 12:00:00 AM,2,0,2
04/08/2014 01:00:00 AM,2,2,0
04/08/2014 02:00:00 AM,0,0,0
04/08/2014 03:00:00 AM,0,0,0
04/08/2014 04:00:00 AM,0,0,0
04/08/2014 05:00:00 AM,5,4,1
04/08/2014 06:00:00 AM,13,8,5
04/08/2014 07:00:00 AM,20,15,5
04/08/2014 08:00:00 AM,27,15,12
04/08/2014 09:00:00 AM,38,32,6
04/08/2014 10:00:00 AM,17,11,6
04/08/2014 11:00:00 AM,23,23,0
04/08/2014 12:00:00 PM,43,33,10
04/08/2014 01:00:00 PM,34,18,16
04/08/2014 02:00:00 PM,20,10,10
04/08/2014 03:00:00 PM,35,24,11
04/08/2014 04:00:00 PM,43,19,24
04/08/2014 05:00:00 PM,25,11,14
04/08/2014 06:00:00 PM,28,13,15
04/08/2014 07:00:00 PM,36,12,24
04/08/2014 08:00:00 PM,9,8,1
04/08/2014 09:00:00 PM,8,3,5
04/08/2014 10:00:00 PM,10,4,6
04/08/2014 11:00:00 PM,4,3,1
04/09/2014 12:00:00 AM,2,2,0
04/09/2014 01:00:00 AM,2,0,2
04/09/2014 02:00:00 AM,4,0,4
04/09/2014 03:00:00 AM,0,0,0
04/09/2014 04:00:00 AM,0,0,0
04/09/2014 05:00:00 AM,0,0,0
04/09/2014 06:00:00 AM,10,6,4
04/09/2014 07:00:00 AM,26,12,14
04/09/2014 08:00:00 AM,19,5,14
04/09/2014 09:00:00 AM,37,23,14
04/09/2014 10:00:00 AM,22,7,15
04/09/2014 11:00:00 AM,49,31,18
04/09/2014 12:00:00 PM,32,22,10
04/09/2014 01:00:00 PM,34,21,13
04/09/2014 02:00:00 PM,34,24,10
04/09/2014 03:00:00 PM,37,28,9
04/09/2014 04:00:00 PM,29,14,15
04/09/2014 05:00:00 PM,29,20,9
04/09/2014 06:00:00 PM,54,31,23
04/09/2014 07:00:00 PM,43,21,22
04/09/2014 08:00:00 PM,23,18,5
04/09/2014 09:00:00 PM,16,9,7
04/09/2014 10:00:00 PM,10,9,1
04/09/2014 11:00:00 PM,6,5,1
04/10/2014 12:00:00 AM,2,2,0
04/10/2014 01:00:00 AM,6,2,4
04/10/2014 02:00:00 AM,2,0,2
04/10/2014 03:00:00 AM,0,0,0
04/10/2014 04:00:00 AM,2,2,0
04/10/2014 05:00:00 AM,0,0,0
04/10/2014 06:00:00 AM,9,8,1
04/10/2014 07:00:00 AM,29,20,9
04/10/2014 08:00:00 AM,40,28,12
04/10/2014 09:00:00 AM,27,18,9
04/10/2014 10:00:00 AM,39,26,13
04/10/2014 11:00:00 AM,33,12,21
04/10/2014 12:00:00 PM,55,31,24
04/10/2014 01:00:00 PM,54,30,24
04/10/2014 02:00:00 PM,40,23,17
04/10/2014 03:00:00 PM,25,12,13
04/10/2014 04:00:00 PM,28,22,6
04/10/2014 05:00:00 PM,30,20,10
04/10/2014 06:00:00 PM,46,23,23
04/10/2014 07:00:00 PM,34,23,11
04/10/2014 08:00:00 PM,9,7,2
04/10/2014 09:00:00 PM,11,5,6
04/10/2014 10:00:00 PM,10,6,4
04/10/2014 11:00:00 PM,8,6,2
04/11/2014 12:00:00 AM,3,1,2
04/11/2014 01:00:00 AM,2,0,2
04/11/2014 02:00:00 AM,2,0,2
04/11/2014 03:00:00 AM,0,0,0
04/11/2014 04:00:00 AM,0,0,0
04/11/2014 05:00:00 AM,5,4,1
04/11/2014 06:00:00 AM,2,0,2
04/11/2014 07:00:00 AM,24,17,7
04/11/2014 08:00:00 AM,40,22,18
04/11/2014 09:00:00 AM,60,45,15
04/11/2014 10:00:00 AM,36,21,15
04/11/2014 11:00:00 AM,35,15,20
04/11/2014 12:00:00 PM,41,26,15
04/11/2014 01:00:00 PM,19,11,8
04/11/2014 02:00:00 PM,45,30,15
04/11/2014 03:00:00 PM,35,22,13
04/11/2014 04:00:00 PM,42,22,20
04/11/2014 05:00:00 PM,55,30,25
04/11/2014 06:00:00 PM,64,37,27
04/11/2014 07:00:00 PM,35,17,18
04/11/2014 08:00:00 PM,30,19,11
04/11/2014 09:00:00 PM,12,10,2
04/11/2014 10:00:00 PM,14,9,5
04/11/2014 11:00:00 PM,15,12,3
04/12/2014 12:00:00 AM,0,0,0
04/12/2014 01:00:00 AM,2,2,0
04/12/2014 02:00:00 AM,2,0,2
04/12/2014 03:00:00 AM,3,2,1
04/12/2014 04:00:00 AM,0,0,0
04/12/2014 05:00:00 AM,1,1,0
04/12/2014 06:00:00 AM,5,3,2
04/12/2014 07:00:00 AM,13,7,6
04/12/2014 08:00:00 AM,25,15,10
04/12/2014 09:00:00 AM,39,17,22
04/12/2014 10:00:00 AM,39,20,19
04/12/2014 11:00:00 AM,80,43,37
04/12/2014 12:00:00 PM,87,52,35
04/12/2014 01:00:00 PM,68,27,41
04/12/2014 02:00:00 PM,38,19,19
04/12/2014 03:00:00 PM,56,29,27
04/12/2014 04:00:00 PM,54,23,31
04/12/2014 05:00:00 PM,60,31,29
04/12/2014 06:00:00 PM,59,38,21
04/12/2014 07:00:00 PM,49,30,19
04/12/2014 08:00:00 PM,25,18,7
04/12/2014 09:00:00 PM,14,8,6
04/12/2014 10:00:00 PM,15,6,9
04/12/2014 11:00:00 PM,8,5,3
04/13/2014 12:00:00 AM,0,0,0
04/13/2014 01:00:00 AM,5,5,0
04/13/2014 02:00:00 AM,3,3,0
04/13/2014 03:00:00 AM,2,0,2
04/13/2014 04:00:00 AM,0,0,0
04/13/2014 05:00:00 AM,0,0,0
04/13/2014 06:00:00 AM,0,0,0
04/13/2014 07:00:00 AM,8,3,5
04/13/2014 08:00:00 AM,8,3,5
04/13/2014 09:00:00 AM,23,11,12
04/13/2014 10:00:00 AM,42,24,18
04/13/2014 11:00:00 AM,50,22,28
04/13/2014 12:00:00 PM,63,34,29
04/13/2014 01:00:00 PM,67,49,18
04/13/2014 02:00:00 PM,49,30,19
04/13/2014 03:00:00 PM,51,29,22
04/13/2014 04:00:00 PM,58,43,15
04/13/2014 05:00:00 PM,60,44,16
04/13/2014 06:00:00 PM,54,36,18
04/13/2014 07:00:00 PM,22,20,2
04/13/2014 08:00:00 PM,24,16,8
04/13/2014 09:00:00 PM,9,7,2
04/13/2014 10:00:00 PM,9,6,3
04/13/2014 11:00:00 PM,8,8,0
04/14/2014 12:00:00 AM,0,0,0
04/14/2014 01:00:00 AM,1,1,0
04/14/2014 02:00:00 AM,1,1,0
04/14/2014 03:00:00 AM,0,0,0
04/14/2014 04:00:00 AM,0,0,0
04/14/2014 05:00:00 AM,5,3,2
04/14/2014 06:00:00 AM,9,5,4
04/14/2014 07:00:00 AM,18,10,8
04/14/2014 08:00:00 AM,29,18,11
04/14/2014 09:00:00 AM,33,18,15
04/14/2014 10:00:00 AM,23,14,9
04/14/2014 11:00:00 AM,34,17,17
04/14/2014 12:00:00 PM,33,16,17
04/14/2014 01:00:00 PM,32,18,14
04/14/2014 02:00:00 PM,28,22,6
04/14/2014 03:00:00 PM,35,22,13
04/14/2014 04:00:00 PM,51,25,26
04/14/2014 05:00:00 PM,50,33,17
04/14/2014 06:00:00 PM,50,30,20
04/14/2014 07:00:00 PM,36,21,15
04/14/2014 08:00:00 PM,29,22,7
04/14/2014 09:00:00 PM,11,7,4
04/14/2014 10:00:00 PM,4,4,0
04/14/2014 11:00:00 PM,5,5,0
04/15/2014 12:00:00 AM,4,4,0
04/15/2014 01:00:00 AM,3,2,1
04/15/2014 02:00:00 AM,0,0,0
04/15/2014 03:00:00 AM,5,2,3
04/15/2014 04:00:00 AM,0,0,0
04/15/2014 05:00:00 AM,2,2,0
04/15/2014 06:00:00 AM,7,2,5
04/15/2014 07:00:00 AM,26,17,9
04/15/2014 08:00:00 AM,48,36,12
04/15/2014 09:00:00 AM,32,17,15
04/15/2014 10:00:00 AM,27,18,9
04/15/2014 11:00:00 AM,37,22,15
04/15/2014 12:00:00 PM,66,47,19
04/15/2014 01:00:00 PM,31,21,10
04/15/2014 02:00:00 PM,18,12,6
04/15/2014 03:00:00 PM,44,28,16
04/15/2014 04:00:00 PM,48,34,14
04/15/2014 05:00:00 PM,43,22,21
04/15/2014 06:00:00 PM,22,14,8
04/15/2014 07:00:00 PM,39,15,24
04/15/2014 08:00:00 PM,15,13,2
04/15/2014 09:00:00 PM,10,5,5
04/15/2014 10:00:00 PM,8,6,2
04/15/2014 11:00:00 PM,4,3,1
04/16/2014 12:00:00 AM,0,0,0
04/16/2014 01:00:00 AM,0,0,0
04/16/2014 02:00:00 AM,0,0,0
04/16/2014 03:00:00 AM,2,2,0
04/16/2014 04:00:00 AM,0,0,0
04/16/2014 05:00:00 AM,3,3,0
04/16/2014 06:00:00 AM,12,6,6
04/16/2014 07:00:00 AM,27,22,5
04/16/2014 08:00:00 AM,34,29,5
04/16/2014 09:00:00 AM,17,10,7
04/16/2014 10:00:00 AM,23,14,9
04/16/2014 11:00:00 AM,32,17,15
04/16/2014 12:00:00 PM,37,17,20
04/16/2014 01:00:00 PM,30,16,14
04/16/2014 02:00:00 PM,38,17,21
04/16/2014 03:00:00 PM,34,17,17
04/16/2014 04:00:00 PM,34,25,9
04/16/2014 05:00:00 PM,38,23,15
04/16/2014 06:00:00 PM,40,22,18
04/16/2014 07:00:00 PM,18,3,15
04/16/2014 08:00:00 PM,15,10,5
04/16/2014 09:00:00 PM,7,4,3
04/16/2014 10:00:00 PM,12,7,5
04/16/2014 11:00:00 PM,5,2,3
04/17/2014 12:00:00 AM,0,0,0
04/17/2014 01:00:00 AM,4,0,4
04/17/2014 02:00:00 AM,0,0,0
04/17/2014 03:00:00 AM,2,2,0
04/17/2014 04:00:00 AM,0,0,0
04/17/2014 05:00:00 AM,3,2,1
04/17/2014 06:00:00 AM,7,5,2
04/17/2014 07:00:00 AM,39,20,19
04/17/2014 08:00:00 AM,27,19,8
04/17/2014 09:00:00 AM,19,15,4
04/17/2014 10:00:00 AM,21,13,8
04/17/2014 11:00:00 AM,35,18,17
04/17/2014 12:00:00 PM,24,7,17
04/17/2014 01:00:00 PM,17,6,11
04/17/2014 02:00:00 PM,20,14,6
04/17/2014 03:00:00 PM,24,17,7
04/17/2014 04:00:00 PM,28,14,14
04/17/2014 05:00:00 PM,38,11,27
04/17/2014 06:00:00 PM,32,10,22
04/17/2014 07:00:00 PM,35,25,10
04/17/2014 08:00:00 PM,17,9,8
04/17/2014 09:00:00 PM,14,14,0
04/17/2014 10:00:00 PM,2,0,2
04/17/2014 11:00:00 PM,7,6,1
04/18/2014 12:00:00 AM,0,0,0
04/18/2014 01:00:00 AM,0,0,0
04/18/2014 02:00:00 AM,2,2,0
04/18/2014 03:00:00 AM,2,0,2
04/18/2014 04:00:00 AM,0,0,0
04/18/2014 05:00:00 AM,4,3,1
04/18/2014 06:00:00 AM,7,3,4
04/18/2014 07:00:00 AM,20,14,6
04/18/2014 08:00:00 AM,33,22,11
04/18/2014 09:00:00 AM,22,14,8
04/18/2014 10:00:00 AM,31,20,11
04/18/2014 11:00:00 AM,42,25,17
04/18/2014 12:00:00 PM,33,15,18
04/18/2014 01:00:00 PM,36,23,13
04/18/2014 02:00:00 PM,43,25,18
04/18/2014 03:00:00 PM,50,36,14
04/18/2014 04:00:00 PM,34,18,16
04/18/2014 05:00:00 PM,53,36,17
04/18/2014 06:00:00 PM,60,31,29
04/18/2014 07:00:00 PM,33,18,15
04/18/2014 08:00:00 PM,28,19,9
04/18/2014 09:00:00 PM,26,21,5
04/18/2014 10:00:00 PM,19,17,2
04/18/2014 11:00:00 PM,6,5,1
