Date,Spokane St. Bridge Total,West,East
04/01/2014 12:00:00 AM,3,3,0
04/01/2014 01:00:00 AM,0,0,0
04/01/2014 02:00:00 AM,0,0,0
04/01/2014 03:00:00 AM,0,0,0
04/01/2014 04:00:00 AM,3,0,3
04/01/2014 05:00:00 AM,28,6,22
04/01/2014 06:00:00 AM,66,10,56
04/01/2014 07:00:00 AM,123,20,103
04/01/2014 08:00:00 AM,122,14,108
04/01/2014 09:00:00 AM,53,10,43
04/01/2014 10:00:00 AM,28,5,23
04/01/2014 11:00:00 AM,17,9,8
04/01/2014 12:00:00 PM,24,9,15
04/01/2014 01:00:00 PM,24,8,16
04/01/2014 02:00:00 PM,35,23,12
04/01/2014 03:00:00 PM,52,33,19
04/01/2014 04:00:00 PM,98,74,24
04/01/2014 05:00:00 PM,155,129,26
04/01/2014 06:00:00 PM,113,90,23
04/01/2014 07:00:00 PM,44,35,9
04/01/2014 08:00:00 PM,26,14,12
04/01/2014 09:00:00 PM,12,10,2
04/01/2014 10:00:00 PM,9,6,3
04/01/2014 11:00:00 PM,5,5,0
04/02/2014 12:00:00 AM,2,2,0
04/02/2014 01:00:00 AM,2,1,1
04/02/2014 02:00:00 AM,1,0,1
04/02/2014 03:00:00 AM,2,1,1
04/02/2014 04:00:00 AM,4,0,4
04/02/2014 05:00:00 AM,22,4,18
04/02/2014 06:00:00 AM,66,14,52
04/02/2014 07:00:00 AM,101,17,84
04/02/2014 08:00:00 AM,113,10,103
04/02/2014 09:00:00 AM,39,1,38
04/02/2014 10:00:00 AM,25,6,19
04/02/2014 11:00:00 AM,14,6,8
04/02/2014 12:00:00 PM,24,11,13
04/02/2014 01:00:00 PM,29,14,15
04/02/2014 02:00:00 PM,34,16,18
04/02/2014 03:00:00 PM,51,29,22
04/02/2014 04:00:00 PM,82,57,25
04/02/2014 05:00:00 PM,146,126,20
04/02/2014 06:00:00 PM,97,76,21
04/02/2014 07:00:00 PM,42,31,11
04/02/2014 08:00:00 PM,26,17,9
04/02/2014 09:00:00 PM,16,15,1
04/02/2014 10:00:00 PM,5,5,0
